Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
B2604,STEENBRAS RIVER (BENNING BRIDGE),Bridge,Bridge - Arch,11/13/2019,TR02701,53.1,City of Cape Town (LMB),65.06,8,5,Arch,1/1/1933
B2609,VOGELGAT RIVER,Bridge,Bridge,11/29/2002,TR02802,8.21,Overstrand,13.7,10.95,1,Simply supported,1/1/1962
B2610,KLEIN RIVER,Bridge,Bridge,10/10/2002,TR02802,22.93,Overstrand,40.6,8.4,3,Simply supported,1/1/1948
B2618,BRIDGE OVER KARS RIVER,Bridge,Bridge,12/6/2019,TR02902+,8.68,Cape Agulhas,25,7.2,4,Simply supported,1/1/1950
B2619,ROAD OVER RAIL AT DE VLEI ,Bridge,Bridge,11/20/2019,TR03001+,1.53,Theewaterskloof,8.7,11.8,1,Simply supported,
B2620,THEEWATERSKLOOF DAM SPILLWAY,Bridge,Bridge,11/20/2019,TR03001+,22.39,Theewaterskloof,20.2,13.3,1,Simply supported,1/1/1977
B2623A,BRIDGE OVER KLIPRIVIER (STETTYN),Bridge,Bridge,11/1/2019,TR03002+,16.03,Breede Vallei,14,8.6,2,Simply supported,1/1/1954
B2642,KINGNA RIVER NO1 AT COGMANSKLOOF,Bridge,Bridge,11/29/2019,TR03102,22.2,Langeberg,51.9,7.4,4,Simply supported,
B2643,KINGNA RIVER NO 2 AT COGMANSKLOOF,Bridge,Bridge,10/31/2019,TR03102,23.52,Langeberg,38.6,7.2,3,Simply supported,1/1/1953
B2644,KINGNA RIVER NO1 AT MONTAGU,Bridge,Bridge,11/29/2019,TR03102,25.89,Langeberg,66.6,12,4,Continuous,1/1/2020
B2645,KINGNA RIVER NO 2 AT MONTAGU,Bridge,Bridge,11/29/2019,TR03103,1.25,Langeberg,27.4,10.4,4,Continuous,
B2654A,BRIDGE OVER DORINGRIVIER,Bridge,Bridge,12/9/2019,TR03104+,9.37,Swellendam,25,10,3,Simply supported,1/1/1960
B2655,BRIDGE OVER KOENIEKUILS RIVER,Bridge,Bridge,11/21/2019,TR08304,31.96,Kannaland,24,10.4,3,Simply supported,1/1/1961
B2656,BOSVLAKTE RIVER,Bridge,Bridge,11/21/2019,TR08304,38.65,Kannaland,20,10.6,3,Simply supported,1/1/1962
B2657,BRIDGE OVER TOUWS RIVER,Bridge,Bridge,11/21/2019,TR08304,42.99,Kannaland,105,10.5,8,Simply supported,1/1/1962
B2658,BRIDGE OVER BOBBEJAANKRANS RIVER,Bridge,Bridge,11/21/2019,TR08304,45.16,Kannaland,26,10.5,4,Simply supported,1/1/1961
B2659,BRIDGE OVER GROOT RIVER,Bridge,Bridge,11/20/2019,TR03104,57.37,Kannaland,95,10.1,5,Simply supported,1/1/1962
B2660,STASSENSLEEGTE RIVER,Bridge,Bridge,11/20/2019,TR03104,65.9,Kannaland,13.6,10.3,2,Simply supported,1/1/1960
B2664,NELS RIVER AT ZOAR ,Bridge,Bridge,11/19/2019,TR03105,18.53,Kannaland,12.97,8.5,1,Simply supported,1/1/1958
B2665,SEVEN WEEKS POORT RIVER ,Bridge,Bridge,11/19/2019,TR03105,20.48,Kannaland,27,10.8,2,Simply supported,1/1/1959
B2666A,COGMANSKLOOF RIVER AT ASHTON,Bridge,Bridge,11/28/2019,TR03102,17.75,Langeberg,84.8,9.9,5,Arch,1/1/1950
B2668,BRIDGE OVER DORINGRIVIER,Bridge,Bridge,12/9/2019,TR03104+,19.21,Swellendam,41,10,5,Simply supported,1/1/1960
B2673,BRIDGE OVER KEURBOOMSRIVIER,Bridge,Bridge,12/11/2019,TR03201+,38.11,Swellendam,29,13.9,3,Simply supported,
B2676,Road over Rail at Voorbaai,Bridge,Bridge,11/6/2019,TR03301,13.36,Mossel Bay,20.1,16.1,1,Simply supported,1/1/2000
B2678,MOERAS RIVER,Bridge,Bridge,11/6/2019,TR03302+,44.66,Oudtshoorn,19.8,7.52,2,Simply supported,1/1/2000
B2679,KANDELAARS RIVER,Bridge,Bridge,11/6/2019,TR03302+,62.68,Oudtshoorn,29.5,7.74,3,Simply supported,1/1/2000
B2680,B2680,Bridge,Bridge,11/6/2019,TR03302+,67.81,Oudtshoorn,133.8,8.34,7,Simply supported,1/1/2000
B2681,GROBBELAARS RIVER,Bridge,Bridge,1/20/2003,TR03302,76.21,Oudtshoorn,64.5,21.35,4,Continuous,1/1/1962
B2682,ROAD OVER RAIL BRIDGE AT STOLSVLAKTE,Bridge,Bridge,1/22/2020,TR03303,8.59,Oudtshoorn,8.3,9.6,1,Simply supported,
B2683,CANGO RIVER BRIDGE,Bridge,Bridge,3/23/2020,TR03303,21.03,Oudtshoorn,40.17,12.5,4,Continous and simply supported,
B2684,ROAD OVER RAIL BRIDGE AT LE ROUX STATION,Bridge,Bridge,3/23/2020,TR03303,27.6,Oudtshoorn,10.9,19,1,Simply supported,
B2685,NELS RIVER BRIDGE,Bridge,Bridge,3/24/2020,TR03303,29.26,Oudtshoorn,33.1,10.1,5,Continous and simply supported,
B2686,KLEIN RIVER BRIDGE,Bridge,Bridge,3/24/2020,TR03303,35.01,Oudtshoorn,30.2,20.5,3,Continous and simply supported,
B2687,MEIRINGSPOORT CAUSEWAY NO 1,Bridge,Bridge,11/8/2019,TR03304+,1.75,Oudtshoorn,35,11,5,,
B2688,MEIRINGSPOORT CAUSEWAY NO 2,Bridge,Bridge,11/8/2019,TR03304+,2.87,Oudtshoorn,29.6,10.4,4,,
B2689,MEIRINGSPOORT CAUSEWAY NO 4,Bridge,Bridge,11/8/2019,TR03304+,5.8,Oudtshoorn,27.8,8.6,4,Continous and simply supported,
B2689A,Meiringspoort Causeway no 5,Bridge,Bridge,11/23/2019,TR03304,6.03,Oudtshoorn,20.4,8.6,4,Simply supported,1/1/1998
B2689B,MEIRINGSPOORT CAUSEWAY NO 6,Bridge,Bridge,11/8/2019,tr03304+,6.31,Oudtshoorn,26.9,8.7,4,Simply supported,
B2689C,Meiringspoort Causeway no 7,Bridge,Bridge,11/23/2019,TR03304,6.82,Oudtshoorn,29.07,8.6,4,Simply supported,1/1/1998
B2690,MEIRINGSPOORT CAUSEWAY NO 8,Bridge,Bridge,11/23/2019,TR03304,7.73,Oudtshoorn,43.97,8.6,6,Simply supported,1/1/1998
B2690A,Meiringspoort Causeway no 9,Bridge,Bridge,11/23/2019,TR03304,8.49,Oudtshoorn,20.8,8.6,4,Simply supported,1/1/1998
B2691,Meiringspoort Causeway no 10,Bridge,Bridge,11/23/2019,TR03304,8.76,Oudtshoorn,32.8,8.6,5,Simply supported,1/1/1998
B2691A,Meiringspoort Causeway no 11,Bridge,Bridge,11/23/2019,TR03304,9.25,Oudtshoorn,24.3,8.6,4,Simply supported,1/1/1998
B2692,Meiringspoort Causeway no 12,Bridge,Bridge,11/23/2019,TR03304,9.54,Oudtshoorn,29.8,8.6,4,Simply supported,1/1/1998
B2692A,Meiringspoort Causeway no 13,Bridge,Bridge,11/23/2019,TR03304,9.85,Oudtshoorn,22.95,8.6,4,Simply supported,1/1/1998
B2693,Meiringspoort Causeway no 14,Bridge,Bridge,11/23/2019,TR03304,10.15,Oudtshoorn,37,8.6,5,Simply supported,1/1/1998
B2694,Meiringspoort Causeway no 15,Bridge,Bridge,11/23/2019,TR03304,11.05,Oudtshoorn,30.1,8.6,4,Simply supported,1/1/1998
B2695,MEIRINGSPOORT CAUSEWAY NO. 16,Bridge,Bridge,11/16/2019,TR03304+,11.43,Prince Albert,29.4,8.8,4,Simply supported,1/1/1970
B2695A,MEIRINGSPOORT CAUSEWAY NO. 17,Bridge,Bridge,11/16/2019,TR03304+,11.7,Prince Albert,28.7,8.8,4,Simply supported,1/1/1970
B2696,MEIRINGSPOORT CAUSEWAY NO. 18,Bridge,Bridge,11/16/2019,TR03304+,14.1,Prince Albert,34.8,10.6,6,Simply supported,1/1/1970
B2697,MAIRINGSPOORT CAUSEWAY NO. 19,Bridge,Bridge,11/16/2019,TR03304+,14.97,Prince Albert,29.2,10.7,4,Simply supported,1/1/1970
B2697A,MEIRINGSPOORT CAUSEWAY NO. 20,Bridge,Bridge,11/16/2019,TR03304+,16.22,Prince Albert,21.5,11,4,Simply supported,1/1/1970
B2697B,MEIRINGSPOORT CAUSEWAY NO. 21,Bridge,Bridge,11/15/2019,TR03304+,16.99,Prince Albert,20.8,10.7,4,Simply supported,1/1/1970
B2698,MEIRINGSPOORT CAUSEWAY NO.22,Bridge,Bridge,11/16/2019,TR03304+,18.65,Prince Albert,25.8,10.8,4,Simply supported,1/1/1970
B2699,MEIRINGSPOORT CAUSEWAY NO. 23,Bridge,Bridge,11/19/2019,TR03304+,18.8,Prince Albert,26.6,11.3,5,Simply supported,1/1/1970
B2700,MEIRINGSPOORT CAUSEWAY NO. 24,Bridge,Bridge,11/18/2019,TR03304+,19.08,Prince Albert,29.3,10.7,4,Simply supported,1/1/1970
B2701,MEIRINGSPOORT CAUSEWAY NO. 25,Bridge,Bridge,11/15/2019,TR03304+,19.28,Prince Albert,25.2,11.3,6,Simply supported,1/1/1970
B2702,VLAKKRAAL RIVER,Bridge,Bridge,11/8/2019,TR03401+,1.29,Prince Albert,40,10.25,6,Simply supported,1/1/1961
B2703,Gamka  ,Bridge,Bridge,11/12/2019,TR03401+,29,Prince Albert,128,10.6,10,Continuous,1/1/1963
B2704,Swart ,Bridge,Bridge,11/15/2019,TR03401+,36.3,Prince Albert,90,10.2,9,Simply supported,1/1/1961
B2705,BRIDGE OVER KUILS RIVER,Bridge,Bridge,11/13/2019,TR03501,0.52,Beaufort West,30,16.7,6,Simply supported,1/1/1962
B2736,KAT RIVER,Bridge,Bridge,11/11/2019,TR03401+,13.1,Prince Albert,26.8,10.25,4,Simply supported,1/1/1959
B2781,BRIDGE OVER DRIEHOEKS RIVER,Bridge,Bridge,2/1/2021,TR04401,22.64,George,16,11,2,Simply supported,1/1/1962
B2782,BRIDGE OVER KLEIN RIVER,Bridge,Bridge,2/1/2021,TR04401,24.57,George,9.2,10.5,1,Simply supported,1/1/1961
B2783,BRIDGE OVER GROOT RIVER,Bridge,Bridge,2/1/2021,TR04401,30.64,George,48.5,10.7,5,Simply supported,1/1/1961
B2784,BRIDGE OVER ONGELEGEN RIVER,Bridge,Bridge,2/1/2021,TR04401,33.76,George,18.8,10.2,2,Simply supported,1/1/1961
B2860,Voechs River No.5,Bridge,Bridge,11/21/2019,TR05901,52.58,George,7.4,9.2,1,Simply supported,1/1/1931
B2862,BRIDGE OVER UILSHOEKRIVIER,Bridge,Bridge,12/10/2019,TR06501+,7.62,Swellendam,6,9,1,Simply supported,
B2896,BRIDGE OVER TEEKLOOF RIVER,Bridge,Bridge,11/14/2019,TR07301,37.92,Beaufort West,78.9,10.2,8,Simply supported,1/1/1964
B2897,BRIDGE OVER SLINGERFONTEIN RIVER,Bridge,Bridge,11/14/2019, TR07301,55.98,Beaufort West,25.2,10.2,3,Simply supported,1/1/1962
B2898,BRIDGE OVER MUGGELFONTEIN RIVER,Bridge,Bridge,11/14/2019,TR07301,62.88,Beaufort West,12.17,10.1,2,Simply supported,1/1/1961
B2899, BRIDGE OVER HOEDEMAKERS RIVER,Bridge,Bridge,11/14/2019,TR07301,69.16,Beaufort West,16.2,10.2,2,Simply supported,1/1/1961
B2900,BRIDGE OVER TEEKLOOF RIVER TRIBUTARY,Bridge,Bridge,11/14/2019,TR07301,71.4,Beaufort West,16.2,10,2,Simply supported,1/1/1961
B2904,ROAD OVER RAIL AT ZEBRA STATION,Bridge,Bridge,7/30/2020,TR07501+,5.93,Oudtshoorn,6.6,10.5,1,Simply supported,1/1/1956
B2906,LE ROUX RIVER,Bridge,Bridge,10/3/2020,TR07502+,21.81,Oudtshoorn,33,10.2,5,Simply supported,
B2907,GROBBELAARS RIVER NO 1,Bridge,Bridge,10/3/2020,TR07502+,23.8,Oudtshoorn,54.3,10.46,8,Simply supported,
B2908,GROBBELAARS RIVER NO 2,Bridge,Bridge,10/3/2020,TR7502+,27.68,Oudtshoorn,33.5,11.66,5,Simply supported,
B2917,Berg River Bridge,Bridge,Bridge,11/18/2019,TR07701+,139.33,Bergrivier,52,9,4,Simply supported,1/1/1948
B2918,Carinus Bridge,Bridge,Bridge,11/18/2019,TR07701,140.49,Bergrivier,140,9,11,Simply supported,1/1/1950
B2919,KLEIN VETTE RIVER,Bridge,Bridge,11/14/2019,TR08301,2.81,Hessequa,21.1,8.5,3,Simply supported,
B2921,BRIDGE OVER DIEP RIVER AT MILNERTON (NEW STRUCTURE),Bridge,Bridge,11/7/2019,TR07701,8.58,City of Cape Town (LMB),154.08,13.1,12,Simply supported,1/1/1986
B2925,Rail over Road near Windemere,Bridge,Bridge,11/20/2019,TR00901,3.99,City of Cape Town (LMB),128,11.5,4,Continuous,
B2926,Rail Over Road Near Kensington,Bridge,Bridge,11/20/2019,TR00901,5.19,City of Cape Town (LMB),99.8,5.8,4,Continuous,
B2927,Wingfield interchange no 1,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),79.4,12.9,6,Continous and simply supported,
B2927A,Wingfield interchange no 2,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),79.4,12.9,6,Continous and simply supported,
B2928,"KROMME RIVER
",Bridge,Bridge,11/13/2019,MR00027,35.14,Stellenbosch,17.3,36.76,3,Simply supported,1/1/1972
B2929,"ROAD OVER RAIL AT KLAPMUTS
",Bridge,Bridge,11/15/2019,MR00027,50.96,Stellenbosch,9.87,13.39,1,Simply supported,1/1/1962
B2960,ROAD OVER ROAD AND RAIL AT FAURE,Bridge,Bridge,11/17/2020,MR00168,0.3,City of Cape Town (LMB),89.27,13.72,6,Simply supported,1/1/1972
B2962,"ROAD OVER RAIL AT VLOTTENBURG
",Bridge,Bridge,11/4/2019,MR00168,8.79,Stellenbosch,13.75,12.39,1,Simply supported,1/1/1964
B2963A,Diep River at Malmesbury,Bridge,Bridge,11/18/2019,MR00174,3,Swartland,49.6,13.2,5,Simply supported,1/1/1919
B2968,"ROAD OVER RAIL AT PLANKENBURG
",Bridge,Bridge,12/2/2019,MR00174,59.5,Stellenbosch,159.61,13.84,7,Simply supported,1/1/1967
B2970,Road over Rail at Klipheuwel,Bridge,Bridge,11/19/2019,MR00188,26.16,City of Cape Town (LMB),14.3,12.15,1,Simply supported,
B2972,RAIL OVER ROAD AT VAN WYKS RIVER,Bridge,Bridge - Arch,11/27/2019,MR00191,0.22,Drakenstein,13.2,7.6,1,Arch,
B2975A,JAN JOUBERTSGAT BRIDGE,Bridge,Bridge - Arch,11/25/2019,MR00191,37.16,Stellenbosch,5.66,10.35,1,Arch,1/1/1825
B2976C,DU TOITS RIVER BRIDGE,Bridge,Bridge,11/25/2019,MR00191,39.33,Stellenbosch,39.6,8.92,3,Simply supported,1/1/1958
B2978,ATLANTIS ROAD OVER RAIL,Bridge,Bridge,11/25/2019,MR00199,19.18,City of Cape Town (LMB),45,16.6,3,Simply supported,
B2979,BREEDE RIVER NO 1,Bridge,Bridge,11/13/2019,MR00201+,14.56,Witzenberg,101,5.2,8,Simply supported,1/1/1926
B2980,BREEDE RIVER NO 2,Bridge,Bridge,11/13/2019,MR00201+,14.8,Witzenberg,37.1,5.2,3,Simply supported,1/1/1926
B2983,BORCHARDS BRIDGE,Bridge,Bridge,10/30/2019,MR00201+,22.62,Breede Vallei,12.6,4.8,1,Simply supported,1/1/1924
B2985,LEEU RIVER,Bridge,Bridge,11/21/2019,MR00201,43.12,Drakenstein,6.2,11.7,1,Simply supported,1/1/1932
B2986,HUGOS RIVER,Bridge,Bridge,11/21/2019,MR00201,53.8,Drakenstein,24.6,23.2,3,Simply supported,1/1/1954
B2989,WEMMERSHOEK RIVER,Bridge,Bridge,11/27/2019,MR00201,71.69,Stellenbosch,37.46,7.7,4,Simply supported,1/1/1943
B2990,ROAD OVER RAIL AT ARBORETUM AVE,Bridge,Bridge,11/20/2019,MR00207,1.4,Drakenstein,10,16.05,1,Simply supported,
B3006,Bridge over Diep River,Bridge,Bridge,11/18/2019,MR00217,11.07,City of Cape Town (LMB),92.8,6,12,Continous and simply supported,
B3007,BERG RIVER AT LADY LOCH,Bridge,Bridge,11/26/2019,MR00222,1.41,Drakenstein,183.8,5.2,6,Simply supported,1/1/1910
B3011,SOUT RIVER AT VOLSTRUISFONTEIN,Bridge,Bridge,11/18/2019,MR00228,3.18,Saldanha Bay,33.3,8.1,4,Simply supported,1/1/1956
B3012,"KOCHRA RIVER TRIBUTARY NO1
",Bridge,Bridge,12/4/2019,MR00228,12.19,Swartland,19.8,7.4,3,Simply supported,1/1/1953
B3013,"KOCHRA RIVER TRIBUTARY NO2
",Bridge,Bridge,12/4/2019,MR00228,12.63,Swartland,8,12.5,1,Simply supported,1/1/1951
B3014,"LONG STREET ROAD OVER RAIL
",Bridge,Bridge,12/5/2019,MR00230,1.5,Swartland,25.5,12.65,3,Simply supported,1/1/1969
B3015A,Nogo River Bridge (Kotze Bridge),Bridge,Bridge,11/13/2019,MR00230+,1.9,Swartland,24.38,19.98,7,Simply supported,1/1/1969
B3017,BRIDGE OVER DONKERSKLOOF STREAM,Bridge,Bridge,11/27/2019,MR00236,15.09,Swartland,19.4,9.86,2,Simply supported,1/1/1946
B3018,SOUT RIVER (HOPEFIELD BRIDGE),Bridge,Bridge,11/20/2019,MR00234,1.27,Saldanha Bay,46.7,8.24,5,Simply supported,1/1/2001
B3022A,BRIDGE OVER KARS RIVER,Bridge,Bridge,12/6/2019,MR00264+,7.34,Cape Agulhas,19,7,2,Continous and simply supported,
B3024A,BRIDGE OVER SOUT RIVER,Bridge,Bridge,12/6/2019,MR00264+,22.4,Cape Agulhas,30,10,3,Simply supported,
B3025,BRIDGE OVER SOERIVIER,Bridge,Bridge,12/8/2019,MR00264+,25.38,Cape Agulhas,24,10,3,Simply supported,1/1/1961
B3027,BRIDGE OVER SOUT RIVER,Bridge,Bridge,12/8/2019,MR00265+,25.56,Cape Agulhas,19,7.7,3,Simply supported,
B3031,BRIDGE OVER KLIPDRIFTRIVIER,Bridge,Bridge,12/8/2019,MR00266+,0.22,Cape Agulhas,9,8.5,1,Simply supported,1/1/1950
B3032,BRIDGE OVER BRAKRIVIER,Bridge,Bridge,12/10/2019,MR00268+,18.32,Swellendam,24,7.6,3,Simply supported,
B3033,BRIDGE OVER BRAKRIVIER,Bridge,Bridge,12/10/2019,MR00268+,33.43,Swellendam,6,20,1,Simply supported,
B3035,BRIDGE OVER KINKORIVIER,Bridge,Bridge,12/10/2019,MR00270+,7.38,Swellendam,12,7.8,2,Simply supported,1/1/1959
B3036,SWART RIVER AT DONKERHOEK,Bridge,Bridge,11/19/2019,MR00277+,3.05,Theewaterskloof,24,8,3,Continous and simply supported,1/1/1957
B3037,SWART RIVER AT MATJIESDRIF,Bridge,Bridge,11/19/2019,MR00277+,4.55,Theewaterskloof,25,7.6,3,Continuous,1/1/1957
B3038A,PALMIET RIVER - GRABOUW,Bridge,Bridge,11/27/2019,MR00278,2.15,Theewaterskloof,116.9,10.2,18,Simply supported,1/1/1956
B3045,PALMIET RIVER AT NUWEBERG ,Bridge,Bridge,11/25/2019,MR00279+,26.9,Theewaterskloof,9.85,10.24,1,Simply supported,1/1/1960
B3046,PALMIET RIVER AT EIKENHOF,Bridge,Bridge,11/28/2019,MR00279,30.04,Theewaterskloof,12.8,10.2,1,Simply supported,
B3049,SOUTPANS RIVER,Bridge,Bridge,10/30/2019,MR00282,13.96,Langeberg,6.5,9.5,1,Simply supported,1/1/1999
B3050,BRIDGE OVER DOORN RIVIER - HEIDELBERG,Bridge,Bridge,11/21/2019,MR00286+,0.92,Hessequa,27,8.22,3,Simply supported,1/1/1938
B3052,COGMANSKLOOF RIVER,Bridge,Bridge,11/28/2019,MR00287,14.56,Langeberg,97.6,11,5,Simply supported,
B3053A,BRIDGE OVER  KABOUSRIVIER AT SANDDRIFT,Bridge,Bridge,10/30/2019,MR00287,43.96,Langeberg,16.12,10.4,2,Simply supported,1/1/1961
B3054,BREEDE RIVER,Bridge,Bridge,11/28/2019,MR0028,5.89,,53,4.9,8,Simply supported,
B3056A,GROOT RIVER,Bridge,Bridge,11/28/2019,MR00289,4.89,Langeberg,9.5,9.2,1,Simply supported,
B3057,ROOIBRUG OVER BREEDE,Bridge,Bridge,11/28/2019,MR00289,0.35,Langeberg,122.1,6.3,5,Continuous,1/1/1928
B3058,BOESMANS RIVER,Bridge,Bridge,11/28/2019,MR00289,10.4,Langeberg,20,10.8,3,Simply supported,1/1/1962
B3059,ROAD OVER RAIL AT ROBERTSON,Bridge,Bridge,11/18/2019,MR00290,0.19,Langeberg,25,13.3,2,Simply supported,
B3061,BREEDE RIVER (VICTORIA BRIDGE),Bridge,Bridge,11/18/2019,MR00290,2.2,Langeberg,119.6,7.3,9,Continuous,
B3062,KEISERS RIVER,Bridge,Bridge,11/18/2019,MR00290,6.64,Langeberg,39,8,3,Simply supported,1/1/1959
B3063,HOEKS RIVER,Bridge,Bridge,11/17/2019,MR00290,18.32,Langeberg,16,10.5,2,Simply supported,
B3064,BRIDGE OVER KOO RIVER,Bridge,Bridge,11/1/2019,MR00295,37.88,Langeberg,20,9.4,3,Simply supported,1/1/1964
B3065,BRIDGE OVER KEISIES RIVER AT HARMONIE,Bridge,Bridge,11/1/2019,MR00295,54.39,Langeberg,13.4,7.4,1,Simply supported,1/1/1944
B3068,BADS RIVER,Bridge,Bridge,10/30/2019,MR00299+,9.77,Breede Vallei,6.7,9.5,1,Simply supported,1/1/1999
B3069,ROAD OVER RAIL AT RABIE AVENUE,Bridge,Bridge,11/7/2019,MR00301,1.72,Breede Vallei,34.3,11.8,3,Simply supported,1/1/1987
B3070,ROAD OVER RAIL AT PROTEA STREET,Bridge,Bridge,11/7/2019,B3070,5.77,Breede Vallei,53.8,12.2,5,Simply supported,1/1/1967
B3071,HARTEBEEST RIVER BRIDGE,Bridge,Bridge,10/31/2019,MR00302,1.18,Breede Vallei,20.2,7.52,3,Simply supported,1/1/1950
B3072A,JAN DU TOIT RIVER BRIDGE No.2,Bridge,Bridge,10/31/2019,MR00302,8.2,Breede Vallei,12.1,13.9,2,Simply supported,1/1/1931
B3073,JAN DU TOIT RIVER BRIDGE NO 1,Bridge,Bridge,11/11/2019,MR00302+,8.68,Witzenberg,30,14.1,3,Simply supported,1/1/1950
B3075,ROAD OVER RAIL AT DE DOORNS,Bridge,Bridge,10/30/2019,MR00303+,0.23,Breede Vallei,39.89,14,3,Simply supported,1/1/1975
B3077,KLEINVLEI RIVER,Bridge,Bridge,11/12/2019,MR00310+,39.21,Witzenberg,19.8,8.3,2,Simply supported,1/1/1948
B3078A,SKILPADRUG RIVER,Bridge,Bridge,11/19/2019,MR00312+,1.17,Witzenberg,14.1,10.27,2,Simply supported,1/1/1961
B3079,MOULS RIVER,Bridge,Bridge,11/19/2019,MR00312+,7.27,Witzenberg,20,7.35,3,Simply supported,1/1/1950
B3080,ANTJIESBOS RIVER,Bridge,Bridge,11/19/2019,MR00312+,8.81,Witzenberg,12.85,7.35,1,Simply supported,1/1/1950
B3082,DOORN RIVER CAUSEWAY,Bridge,Bridge,11/5/2019,MR00316+,41.64,Witzenberg,19.6,7.2,2,Simply supported,1/1/1950
B3089,GOUKOU RIVER,Bridge,Bridge,11/12/2019,MR00332,25.95,Hessequa,96,8.7,5,Simply supported,1/1/1955
B3091,VALS RIVER,Bridge,Bridge,11/11/2019,MR00337,11.12,Hessequa,31,8.4,4,Simply supported,1/1/1957
B3093,GOURITZ RIVER CAUSEWAY,Bridge,Bridge,11/13/2019,MR00342,67.94,Hessequa,51.8,4.26,15,Continous and simply supported,1/1/1955
B3098,Kaaimans River,Bridge,Bridge - Arch,11/9/2019,MR00355,6.53,George,18.6,5.1,1,Arch,1/1/1904
B3099,Silver River,Bridge,Bridge - Arch,11/9/2019,MR00355,8.62,George,18.6,5.2,1,Arch,1/1/1903
B3106,KAMMANASSIE RIVER CAUSEWAY,Bridge,Bridge,11/5/2019,MR00359+,10.23,Oudtshoorn,37.3,4.22,6,Simply supported,1/1/2000
B3107,KRUIS RIVER NO 1,Bridge,Bridge,11/21/2019,MR00363,3.2,Kannaland,26,10.54,3,Simply supported,1/1/1964
B3108,GROBBELAARS RIVER NO 1,Bridge,Bridge,11/4/2019,MR00369+,0.84,Oudtshoorn,39.4,10.34,4,Continous and simply supported,
B3109,GROBBELAARS RIVER NO 2,Bridge,Bridge,11/4/2019,MR00369+,1,Oudtshoorn,39.8,10.78,4,Continous and simply supported,1/1/2000
B3111,Gamka River Causeway,Bridge,Bridge,11/6/2019,MR00373,37.25,Prince Albert,244,7.3,28,Simply supported,1/1/1959
B3112,PIESANG RIVER (OTTO DU PLESIS BRIDGE),Bridge,Bridge,11/1/2019,MR00383,2.64,Bitou,32,11.14,3,Cantilever with drop in spans,1/1/1961
B3125,KROMLAAGTE STREAM,Bridge,Bridge,11/22/2019,MR00404,0.5,George,6.6,10.4,1,Simply supported,1/1/1963
B3174,De Molen Stream Culvert,Bridge,Bridge,11/20/2019,MR00526+,7.52,Bergrivier,16.4,10.4,2,Simply supported,
B3175,Bridge over Smits River,Bridge,Bridge,11/20/2019,MR00526+,9.2,Bergrivier,26,13.36,4,Simply supported,1/1/1959
B3176,Bridge over Hans Byls River,Bridge,Bridge,11/20/2019,MR00526+,15.14,Bergrivier,19.8,10.16,3,Simply supported,1/1/1959
B3179,Platkloof River Bridge,Bridge,Bridge,11/18/2019,MR00529+,9.63,Bergrivier,29.4,8.4,3,Simply supported,1/1/1957
B3180,Boesmans River Bridge,Bridge,Bridge,11/18/2019,MR00529,21.18,Bergrivier,39,9.2,4,Simply supported,1/1/1955
B3183,BERG RIVER AT KERSFONTEIN,Bridge,Bridge,11/18/2019,MR00530+,2.16,Bergrivier,39.2,4.6,3,Simply supported,1/1/1930
B3184,Waboom River Bridge,Bridge,Bridge,11/19/2019,MR00531+,21.01,Bergrivier,30,7.44,3,Simply supported,1/1/1956
B3185,Kruismans River at Welbedag,Bridge,Bridge,11/19/2019,MR00531+,44.22,Bergrivier,58,7.3,6,Simply supported,1/1/1951
B3188,Verlorenvlei River at Redelinghuys,Bridge,Bridge,11/19/2019,MR00534+,45.32,Bergrivier,29.2,8.35,3,Simply supported,1/1/1959
B3190,KRUISMANS RIVER NEAR HET KRUIS,Bridge,Bridge,11/19/2019,MR00538+,85.85,Bergrivier,50.4,10.2,4,Simply supported,1/1/1960
B3192,BRIDGE OVER BOONTJIES RIVER,Bridge,Bridge,12/7/2019,MR00539,25.92,Cederberg,58.8,9,6,Simply supported,1/1/1962
B3193,BRIDGE OVER JAN DISSELS RIVER,Bridge,Bridge,11/13/2019,MR00542,0.33,Cederberg,66.6,10.5,5,Continuous,1/1/1958
B3196,BRIDGE OVER DORINGSRIVIER,Bridge,Bridge - Arch,12/12/2019,MR00542+,56.97,Cederberg,93,4,8,Arch,
B3200A,OLIFANTS RIVER AT KLAWER,Bridge,Bridge,11/11/2019,MR00547+,1.66,Matzikama,190.85,10.7,7,Simply supported,1/1/1985
B3201,OLIFANTS RIVER CANAL AT KAPEL,Bridge,Bridge,11/12/2019,MR00547+,6.85,Matzikama,6.8,9.01,1,Simply supported,1/1/1999
B3203,OLIFANTS RIVER CANAL AT GRUWEL,Bridge,Bridge,11/12/2019,MR00547+,12.06,Matzikama,8.25,8.96,1,Simply supported,1/1/1999
B3204,OLIFANTS RIVER CANAL NO 1 AT BOBBEJAANSKRANS,Bridge,Bridge,11/4/2019,MR00547+,16.2,Matzikama,6.9,9.03,1,Simply supported,1/1/1999
