Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
B0538A,RIVIERSONDEREND CAUSEWAY NO 2,Bridge,Bridge,11/12/2019,DR01309,1.67,Theewaterskloof,15.05,4.28,3,Continuous,
B0539,KWARTEL RIVER,Bridge,Bridge,11/11/2019,DR01308,8.85,Theewaterskloof,6.5,4.9,1,Simply supported,
B0540A,BRIDGE OVER RIVIERSONDEREND,Bridge,Bridge,12/8/2019,DR01306+,1.49,Swellendam,10,3,1,Simply supported,
B0543,BRIDGE OVER GOOBOS RIVER NEAR GREYTON ,Bridge,Bridge,11/5/2019,DR01303,32.24,Theewaterskloof,39.7,8.14,4,Continuous,
B0545,RIVIERSONDEREND NEAR KLEIN PLASIE,Bridge,Bridge - Arch,11/12/2019,DR01303,5.52,Theewaterskloof,31,4.65,1,Arch,
B0547,CAUSEWAY AT MIDDELPLAAS KM 16.55,Bridge,Bridge,11/6/2019,DR01298,16.55,Theewaterskloof,50,5.05,8,Multi-continuous,1/1/1953
B0549A,CAUSEWAY AT MIDDELPLAAS NO.2 AT KM 16.71,Bridge,Bridge,11/5/2019,DR01298,16.71,Theewaterskloof,29,4.3,3,Simply supported,
B0550,MEUL RIVER CAUSEWAY,Bridge,Bridge,10/3/2002,DR01298,17.87,Theewaterskloof,12.3,4.9,2,Simply supported,1/1/1930
B0552,JAGERSBOSKLOOF RIVER,Bridge,Bridge,11/5/2019,DR01298+,20.88,Theewaterskloof,8,10.4,1,Simply supported,
B0553,CAUSEWAY AT GREYTON NO. 2,Bridge,Bridge,11/5/2019,DR01294+,16.87,Theewaterskloof,13.9,6.1,2,Continuous,
B0554,CAUSEWAY AT GREYTON NO.1,Bridge,Bridge,11/5/2019,DR01294+,17.02,Theewaterskloof,88.3,4.3,13,Continuous,
B0555,KWARTEL RIVER BRIDGE ,Bridge,Bridge,11/6/2019,DR01294+,6.6,Theewaterskloof,10.8,7.4,2,Continuous,
B0559,BRIDGE OVER SOUT RIVER AT SOUTKUIL,Bridge,Bridge,11/22/2019,DR01280+,13.53,Cape Agulhas,20,4.9,3,Simply supported,1/1/1950
B0560,RIVIERSONDEREND CAUSEWAY NO 1,Bridge,Bridge,11/11/2019,DR01279,20.79,Theewaterskloof,20.9,3.63,4,Simply supported,
B0562,RIVIERSONDEREND CAUSEWAY NO 2,Bridge,Bridge,11/11/2019,DR01279,20.96,Theewaterskloof,32.44,3.65,7,Simply supported,
B0567,KROM RIVER,Bridge,Bridge,12/2/2019,DR01264+,11.98,Theewaterskloof,16.8,10.4,2,Simply supported,1/1/1960
B0568,HARTEBEEST RIVER TRIBUTARY CAUSEWAY,Bridge,Bridge,11/19/2019,DR01257+,11.13,Theewaterskloof,6.9,4.7,1,Simply supported,
B0569,Bot River,Bridge,Bridge,11/28/2019,DR01254,10.13,Overstrand,63,5.05,2,Truss,1/1/1914
B0570,Onrust River Causeway,Bridge,Bridge,12/3/2019,DR01239+,0.15,Overstrand,12,4.3,2,Continuous,1/1/1960
B0571,BRIDGE OVER KARS RIVER AT ROOIDRAAI,Bridge,Bridge,11/22/2019,DR01233+,0.18,Cape Agulhas,27,8,3,Simply supported,1/1/1947
B0572,BRIDGE OVER SOUT RIVER,Bridge,Bridge,12/6/2019,DR01232+,8.02,Cape Agulhas,29,8,3,Simply supported,1/1/1962
B0573,BOT RIVER TRIBUTARY CULVERT,Bridge,Bridge,12/6/2002,DR01254,10.24,Overstrand,10.4,9.6,1,Unknown,1/1/1948
B0574,HARTEBEEST RIVER NO 1 ,Bridge,Bridge - Arch,11/19/2019,DR01252+,12.3,Theewaterskloof,30.6,4.21,7,Arch,
B0574A,HARTEBEEST RIVER NO 2 ,Bridge,Bridge - Arch,11/19/2019,DR01252+,12.4,Theewaterskloof,30.4,4.21,10,Arch,
B0574B,HARTEBEEST RIVER NO 3 ,Bridge,Bridge - Arch,11/19/2019,DR01252+,12.5,Theewaterskloof,30.6,4.21,10,Arch,
B0575,UILENKRAALS RIVER,Bridge,Bridge,10/10/2002,DR01205,7.96,Overstrand,24.7,7,2,Continuous,1/1/1944
B0579,SOUT RIVER AT SOUTKLOOF,Bridge,Bridge,11/19/2019,DR01173,17.75,Saldanha Bay,19.5,8.1,3,Simply supported,1/1/2001
B0580,Delta River Causeway,Bridge,Bridge,11/20/2019,DR01172+,9.43,Bergrivier,21.8,4.2,6,Simply supported,1/1/1957
B0586,ZOUT RIVER AT UITVLUGT,Bridge,Bridge,11/28/2019,DR01161,22.07,Swartland,29.5,7.35,3,Simply supported,1/1/1948
B0589,Oudepos stream Bridge,Bridge,Bridge,11/18/2019,DR01160,8.57,Swartland,15.8,4.9,2,Simply supported,1/1/1949
B0592,Riebeeks River at Wynkeldershoek,Bridge,Bridge,11/12/2019,DR01153,0.97,Swartland,18.1,4.3,2,Continuous,1/1/1929
