Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
B2666A,COGMANSKLOOF RIVER AT ASHTON,Bridge,Bridge,11/28/2019,TR03102,17.75,Langeberg,6/30/2022,11/28/2019,8903385,22208683,26763900,2123340,15737173,31880,84.8,9.9,1.3,,,,,,,,,,,,,1,0.41,72
B2668,BRIDGE OVER DORINGRIVIER,Bridge,Bridge,12/9/2019,TR03104+,19.21,Swellendam,6/30/2022,11/18/2019,5857751,12429023,13070800,50250,7162799,31880,41,10,3.6,,,,,,,,,,,,,1,0.45,62
B2669,RUNNING STREAM RIVER,Bridge,Bridge Cellular,11/29/2019,TR03201,4.65,Langeberg,6/30/2022,11/29/2019,1659551,2860859,3098515,164700,1274264,25890,,,,,6.8,17.6,1.2,,,,,,,,,,0.59,47
B2673,BRIDGE OVER KEURBOOMSRIVIER,Bridge,Bridge,12/11/2019,TR03201+,38.11,Swellendam,6/30/2022,11/15/2019,6808569,12764728,12850830,2370,6039889,31880,29,13.9,3,,,,,,,,,,,,,1,0.53,47
B2676,Road over Rail at Voorbaai,Bridge,Bridge,11/6/2019,TR03301,13.36,Mossel Bay,6/30/2022,11/6/2019,7579156,8625782,10316690,467860,2269671,31880,20.1,16.1,4.81,,,,,,,,,,,,,1,0.78,22
B2678,MOERAS RIVER,Bridge,Bridge,11/6/2019,TR03302+,44.66,Oudtshoorn,6/30/2022,11/6/2019,3691998,4068486,4746805,10510,1044297,31880,19.8,7.52,3.28,,,,,,,,,,,,,1,0.78,22
B2678A,MEIRINGSPOORT CAUSEWAY NO 1,Bridge,Bridge,1/1/2000,,,,6/30/2022,,,,,,,31880,0,0,0,,,,,,,,,,,,,1,0.77,23
B2679,KANDELAARS RIVER,Bridge,Bridge,11/6/2019,TR03302+,62.68,Oudtshoorn,6/30/2022,11/6/2019,5634795,5979102,7279161,42950,1601415,31880,29.5,7.74,4.64,,,,,,,,,,,,,1,0.78,22
B2680,B2680,Bridge,Bridge,11/6/2019,TR03302+,67.81,Oudtshoorn,6/30/2022,11/6/2019,27548457,27317763,35574640,199760,7826419,31880,133.8,8.34,5.54,,,,,,,,,,,,,1,0.78,22
B2681,GROBBELAARS RIVER,Bridge,Bridge,1/20/2003,TR03302,76.21,Oudtshoorn,6/30/2022,1/20/2003,19038689,33830227,43901150,1155840,23706623,31880,64.5,21.35,3.7,,,,,,,,,,,,,1,0.46,60
B2682,ROAD OVER RAIL BRIDGE AT STOLSVLAKTE,Bridge,Bridge,1/22/2020,TR03303,8.59,Oudtshoorn,6/30/2022,5/27/2020,1343905,2349684,2540199,2400,1193893,31880,8.3,9.6,5.1,,,,,,,,,,,,,1,0.53,47
B2683,CANGO RIVER BRIDGE,Bridge,Bridge,3/23/2020,TR03303,21.03,Oudtshoorn,6/30/2022,5/27/2020,8398915,15232971,16007750,85190,7523640,31880,40.17,12.5,3.85,,,,,,,,,,,,,1,0.53,47
B2684,ROAD OVER RAIL BRIDGE AT LE ROUX STATION,Bridge,Bridge,3/23/2020,TR03303,27.6,Oudtshoorn,6/30/2022,7/28/2020,3499245,6510575,6602348,0,3103103,31880,10.9,19,5.9,,,,,,,,,,,,,1,0.53,47
B2685,NELS RIVER BRIDGE,Bridge,Bridge,3/24/2020,TR03303,29.26,Oudtshoorn,6/30/2022,5/28/2020,5571856,10205912,10657800,76780,5009167,31880,33.1,10.1,2.4,,,,,,,,,,,,,1,0.53,47
B2686,KLEIN RIVER BRIDGE,Bridge,Bridge,3/24/2020,TR03303,35.01,Oudtshoorn,6/30/2022,5/28/2020,10456612,19267170,19736910,3950,9276346,31880,30.2,20.5,6.8,,,,,,,,,,,,,1,0.53,47
B2687,MEIRINGSPOORT CAUSEWAY NO 1,Bridge,Bridge,11/8/2019,TR03304+,1.75,Oudtshoorn,6/30/2022,11/8/2019,6442134,10753076,12273800,62980,5768686,31880,35,11,1.83,,,,,,,,,,,,,1,0.53,47
B2688,MEIRINGSPOORT CAUSEWAY NO 2,Bridge,Bridge,11/8/2019,TR03304+,2.87,Oudtshoorn,6/30/2022,11/8/2019,5159008,8311425,9813939,42380,4612551,31880,29.6,10.4,1.62,,,,,,,,,,,,,1,0.53,47
B2689,MEIRINGSPOORT CAUSEWAY NO 4,Bridge,Bridge,11/8/2019,TR03304+,5.8,Oudtshoorn,6/30/2022,11/8/2019,3969022,6188197,7621871,70570,3582279,31880,27.8,8.6,1.95,,,,,,,,,,,,,1,0.53,47
B2689A,Meiringspoort Causeway no 5,Bridge,Bridge,11/23/2019,TR03304,6.03,Oudtshoorn,6/30/2022,11/23/2019,4224630,5390000,5593027,26070,1342327,31880,20.4,8.6,2.33,,,,,,,,,,,,,1,0.76,24
B2689B,MEIRINGSPOORT CAUSEWAY NO 6,Bridge,Bridge,11/8/2019,tr03304+,6.31,Oudtshoorn,6/30/2022,11/8/2019,3899425,6089568,7460877,54840,3506612,31880,26.9,8.7,2,,,,,,,,,,,,,1,0.53,47
B2689C,Meiringspoort Causeway no 7,Bridge,Bridge,11/23/2019,TR03304,6.82,Oudtshoorn,6/30/2022,11/23/2019,6028809,7605035,7970064,28440,1912815,31880,29.07,8.6,1.8,,,,,,,,,,,,,1,0.76,24
B2690,MEIRINGSPOORT CAUSEWAY NO 8,Bridge,Bridge,11/23/2019,TR03304,7.73,Oudtshoorn,6/30/2022,11/23/2019,9141387,11812858,12055170,20540,2893240,31880,43.97,8.6,2.8,,,,,,,,,,,,,1,0.76,24
B2690A,Meiringspoort Causeway no 9,Bridge,Bridge,11/23/2019,TR03304,8.49,Oudtshoorn,6/30/2022,11/23/2019,4313508,5511654,5702695,20540,1368647,31880,20.8,8.6,1.53,,,,,,,,,,,,,1,0.76,24
B2691,Meiringspoort Causeway no 10,Bridge,Bridge,11/23/2019,TR03304,8.76,Oudtshoorn,6/30/2022,11/23/2019,6832090,8842532,8992710,2370,2158250,31880,32.8,8.6,2.22,,,,,,,,,,,,,1,0.76,24
B2691A,Meiringspoort Causeway no 11,Bridge,Bridge,11/23/2019,TR03304,9.25,Oudtshoorn,6/30/2022,11/23/2019,5008035,6457750,6662283,55300,1598948,31880,24.3,8.6,1.8,,,,,,,,,,,,,1,0.76,24
B2692,Meiringspoort Causeway no 12,Bridge,Bridge,11/23/2019,TR03304,9.54,Oudtshoorn,6/30/2022,11/23/2019,6195137,7919381,8170207,14220,1960850,31880,29.8,8.6,2.11,,,,,,,,,,,,,1,0.76,24
B2692A,Meiringspoort Causeway no 13,Bridge,Bridge,11/23/2019,TR03304,9.85,Oudtshoorn,6/30/2022,11/23/2019,4766238,6172604,6292156,15800,1510117,31880,22.95,8.6,1.92,,,,,,,,,,,,,1,0.76,24
B2693,Meiringspoort Causeway no 14,Bridge,Bridge,11/23/2019,TR03304,10.15,Oudtshoorn,6/30/2022,11/23/2019,7709604,10144216,10144220,0,2434612,31880,37,8.6,1.9,,,,,,,,,,,,,1,0.76,24
B2694,Meiringspoort Causeway no 15,Bridge,Bridge,11/23/2019,TR03304,11.05,Oudtshoorn,6/30/2022,11/23/2019,6240267,7763912,8252457,31600,1980590,31880,30.1,8.6,1.35,,,,,,,,,,,,,1,0.76,24
B2695,MEIRINGSPOORT CAUSEWAY NO. 16,Bridge,Bridge,11/16/2019,TR03304+,11.43,Prince Albert,6/30/2022,12/16/2019,3998793,7184827,8247994,59220,4189981,31880,29.4,8.8,1.6,,,,,,,,,,,,,1,0.49,52
B2695A,MEIRINGSPOORT CAUSEWAY NO. 17,Bridge,Bridge,11/16/2019,TR03304+,11.7,Prince Albert,6/30/2022,11/16/2019,3787213,6717461,8051613,174180,4090220,31880,28.7,8.8,1.6,,,,,,,,,,,,,1,0.49,52
B2696,MEIRINGSPOORT CAUSEWAY NO. 18,Bridge,Bridge,11/16/2019,TR03304+,14.1,Prince Albert,6/30/2022,11/16/2019,5642938,9979446,11759890,142930,5974026,31880,34.8,10.6,2.05,,,,,,,,,,,,,1,0.49,52
B2697,MAIRINGSPOORT CAUSEWAY NO. 19,Bridge,Bridge,11/16/2019,TR03304+,14.97,Prince Albert,6/30/2022,12/19/2019,4251409,7644751,9960587,649200,5059978,31880,29.2,10.7,1.5,,,,,,,,,,,,,1,0.49,52
B2697A,MEIRINGSPOORT CAUSEWAY NO. 20,Bridge,Bridge,11/16/2019,TR03304+,16.22,Prince Albert,6/30/2022,12/16/2019,3586153,6541374,7539620,123340,3830127,31880,21.5,11,1.3,,,,,,,,,,,,,1,0.49,52
B2697B,MEIRINGSPOORT CAUSEWAY NO. 21,Bridge,Bridge,11/15/2019,TR03304+,16.99,Prince Albert,6/30/2022,12/4/2019,3034545,4862349,7095213,456300,3604368,31880,20.8,10.7,1.2,,,,,,,,,,,,,1,0.49,52
B2698,MEIRINGSPOORT CAUSEWAY NO.22,Bridge,Bridge,11/16/2019,TR03304+,18.65,Prince Albert,6/30/2022,12/3/2019,4370457,7356048,8883043,0,4512586,31880,25.8,10.8,1,,,,,,,,,,,,,1,0.49,52
B2699,MEIRINGSPOORT CAUSEWAY NO. 23,Bridge,Bridge,11/19/2019,TR03304+,18.8,Prince Albert,6/30/2022,12/19/2019,4714585,8898300,9582490,0,4867905,31880,26.6,11.3,2.14,,,,,,,,,,,,,1,0.49,52
B2700,MEIRINGSPOORT CAUSEWAY NO. 24,Bridge,Bridge,11/18/2019,TR03304+,19.08,Prince Albert,6/30/2022,12/19/2019,4753022,8628424,9994699,164370,5077307,31880,29.3,10.7,1.7,,,,,,,,,,,,,1,0.49,52
B2701,MEIRINGSPOORT CAUSEWAY NO. 25,Bridge,Bridge,11/15/2019,TR03304+,19.28,Prince Albert,6/30/2022,11/15/2019,4225399,7193525,9078149,241050,4611700,31880,25.2,11.3,1.2,,,,,,,,,,,,,1,0.49,52
B2702,VLAKKRAAL RIVER,Bridge,Bridge,11/8/2019,TR03401+,1.29,Prince Albert,6/30/2022,11/8/2019,5897874,12302237,13070800,62410,7110516,31880,40,10.25,7.29,,,,,,,,,,,,,1,0.46,61
B2703,Gamka  ,Bridge,Bridge,11/12/2019,TR03401+,29,Prince Albert,6/30/2022,11/12/2019,20056559,42069604,43254780,13660,23184565,31880,128,10.6,3.8,,,,,,,,,,,,,1,0.46,59
B2704,Swart ,Bridge,Bridge,11/15/2019,TR03401+,36.3,Prince Albert,6/30/2022,11/15/2019,13216832,27480624,29265840,128390,15920618,31880,90,10.2,2.43,,,,,,,,,,,,,1,0.46,61
B2705,BRIDGE OVER KUILS RIVER,Bridge,Bridge,11/13/2019,TR03501,0.52,Beaufort West,6/30/2022,11/13/2019,7283364,13868384,15971880,63700,8624816,31880,30,16.7,2.3,,,,,,,,,,,,,1,0.46,60
B2736,KAT RIVER,Bridge,Bridge,11/11/2019,TR03401+,13.1,Prince Albert,6/30/2022,11/11/2019,3773231,8086616,8757436,150100,4834105,31880,26.8,10.25,2.8,,,,,,,,,,,,,1,0.45,63
B2781,BRIDGE OVER DRIEHOEKS RIVER,Bridge,Bridge,2/1/2021,TR04401,22.64,George,6/30/2022,2/1/2021,2578635,5548038,5610880,2370,3029875,31880,16,11,6.36,,,,,,,,,,,,,1,0.46,60
B2782,BRIDGE OVER KLEIN RIVER,Bridge,Bridge,2/1/2021,TR04401,24.57,George,6/30/2022,2/1/2021,1404301,3011241,3079608,0,1675307,31880,9.2,10.5,5.33,,,,,,,,,,,,,1,0.46,61
B2783,BRIDGE OVER GROOT RIVER,Bridge,Bridge,2/1/2021,TR04401,30.64,George,6/30/2022,2/1/2021,7544121,15953501,16544130,0,9000005,31880,48.5,10.7,4.65,,,,,,,,,,,,,1,0.46,61
B2784,BRIDGE OVER ONGELEGEN RIVER,Bridge,Bridge,2/1/2021,TR04401,33.76,George,6/30/2022,2/1/2021,2787669,5840655,6113309,0,3325640,31880,18.8,10.2,2.71,,,,,,,,,,,,,1,0.46,61
B2856,BRIDGE OVER SAK RIVER CAUSEWAY NO 1,Bridge,Bridge Cellular,11/13/2019,TR05801,39.81,Beaufort West,6/30/2022,11/13/2019,819603,2700917,3151227,98192,2233432,25890,,,,,20.7,5.88,0,,,,,,,,,,0.29,81
B2857,BRIDGE OVER SAK RIVER CAUSEWAY NO 2,Bridge,Bridge Cellular,11/13/2019,TR05801,42.39,Beaufort West,6/30/2022,11/13/2019,799880,2922419,3529066,258840,2470346,25890,,,,,31.7,4.3,0,,,,,,,,,,0.3,80
B2860,Voechs River No.5,Bridge,Bridge,11/21/2019,TR05901,52.58,George,6/30/2022,11/21/2019,663651,2061871,2170391,65600,1441139,31880,7.4,9.2,3.86,,,,,,,,,,,,,1,0.34,91
B2862,BRIDGE OVER UILSHOEKRIVIER,Bridge,Bridge,12/10/2019,TR06501+,7.62,Swellendam,6/30/2022,11/16/2019,912406,1611515,1721520,0,809114,31880,6,9,5,,,,,,,,,,,,,1,0.53,47
B2896,BRIDGE OVER TEEKLOOF RIVER,Bridge,Bridge,11/14/2019,TR07301,37.92,Beaufort West,6/30/2022,11/14/2019,11433690,20337816,25656390,573498,13649198,31880,78.9,10.2,3.58,,,,,,,,,,,,,1,0.47,58
B2897,BRIDGE OVER SLINGERFONTEIN RIVER,Bridge,Bridge,11/14/2019, TR07301,55.98,Beaufort West,6/30/2022,11/14/2019,3490924,6914464,8194435,278516,4424995,31880,25.2,10.2,3,,,,,,,,,,,,,1,0.46,60
B2898,BRIDGE OVER MUGGELFONTEIN RIVER,Bridge,Bridge,11/14/2019,TR07301,62.88,Beaufort West,6/30/2022,11/14/2019,1705344,3297497,3918594,81535,2131715,31880,12.17,10.1,6.52,,,,,,,,,,,,,1,0.46,61
B2899, BRIDGE OVER HOEDEMAKERS RIVER,Bridge,Bridge,11/14/2019,TR07301,69.16,Beaufort West,6/30/2022,11/14/2019,2147744,4221129,5267851,254396,2865711,31880,16.2,10.2,5.11,,,,,,,,,,,,,1,0.46,61
B2900,BRIDGE OVER TEEKLOOF RIVER TRIBUTARY,Bridge,Bridge,11/14/2019,TR07301,71.4,Beaufort West,6/30/2022,11/14/2019,2090498,3873420,5164560,264541,2809521,31880,16.2,10,1.59,,,,,,,,,,,,,1,0.46,61
B2904,ROAD OVER RAIL AT ZEBRA STATION,Bridge,Bridge,7/30/2020,TR07501+,5.93,Oudtshoorn,6/30/2022,7/30/2020,963248,2086448,2209284,0,1246036,31880,6.6,10.5,0,,,,,,,,,,,,,1,0.44,66
B2906,LE ROUX RIVER,Bridge,Bridge,10/3/2020,TR07502+,21.81,Oudtshoorn,6/30/2022,10/3/2020,5269079,10491511,10730810,418250,5043479,31880,33,10.2,2.42,,,,,,,,,,,,,1,0.53,47
B2907,GROBBELAARS RIVER NO 1,Bridge,Bridge,10/3/2020,TR07502+,23.8,Oudtshoorn,6/30/2022,10/3/2020,8735774,17315856,18107140,861010,8510354,31880,54.3,10.46,2.65,,,,,,,,,,,,,1,0.53,47
B2908,GROBBELAARS RIVER NO 2,Bridge,Bridge,10/3/2020,TR7502+,27.68,Oudtshoorn,6/30/2022,10/3/2020,6255773,11579716,12452650,344130,5852744,31880,33.5,11.66,4.76,,,,,,,,,,,,,1,0.53,47
B2917,Berg River Bridge,Bridge,Bridge,11/18/2019,TR07701+,139.33,Bergrivier,6/30/2022,11/18/2019,5787465,12267093,14919840,240150,8892225,31880,52,9,1.6,,,,,,,,,,,,,1,0.4,74
B2918,Carinus Bridge,Bridge,Bridge,11/18/2019,TR07701,140.49,Bergrivier,6/30/2022,11/18/2019,15520904,33741792,40168800,1028640,23619256,31880,140,9,0,,,,,,,,,,,,,1,0.41,72
B2919,KLEIN VETTE RIVER,Bridge,Bridge,11/14/2019,TR08301,2.81,Hessequa,6/30/2022,11/14/2019,1540900,5185934,5717678,1489470,2687308,31880,21.1,8.5,3,,,,,,,,,,,,,1,0.53,47
B2921,BRIDGE OVER DIEP RIVER AT MILNERTON (NEW STRUCTURE),Bridge,Bridge,11/7/2019,TR07701,8.58,City of Cape Town (LMB),6/30/2022,11/7/2019,40630308,61343068,64348120,552490,23165326,31880,154.08,13.1,3.5,,,,,,,,,,,,,1,0.64,36
B2925,Rail over Road near Windemere,Bridge,Bridge,11/20/2019,TR00901,3.99,City of Cape Town (LMB),6/30/2022,11/20/2019,24208172,35153287,46927360,663330,22055858,31880,128,11.5,6.3,,,,,,,,,,,,,1,0.53,47
B2926,Rail Over Road Near Kensington,Bridge,Bridge,11/20/2019,TR00901,5.19,City of Cape Town (LMB),6/30/2022,11/20/2019,7903483,13000434,18453420,1876830,8673107,31880,99.8,5.8,4.8,,,,,,,,,,,,,1,0.53,47
B2927,Wingfield interchange no 1,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),6/30/2022,11/20/2019,16215647,28401935,32653410,1090660,15347101,31880,79.4,12.9,5.2,,,,,,,,,,,,,1,0.53,47
B2927A,Wingfield interchange no 2,Bridge,Bridge,11/20/2019,TR01101,0,City of Cape Town (LMB),6/30/2022,11/19/2019,16618927,29250923,32653410,687380,15347101,31880,79.4,12.9,5.2,,,,,,,,,,,,,1,0.53,47
B2928,"KROMME RIVER
",Bridge,Bridge,11/13/2019,MR00027,35.14,Stellenbosch,6/30/2022,11/13/2019,7564361,14337789,20274020,2572650,10137011,31880,17.3,36.76,2.5,,,,,,,,,,,,,1,0.5,50
B2929,"ROAD OVER RAIL AT KLAPMUTS
",Bridge,Bridge,11/15/2019,MR00027,50.96,Stellenbosch,6/30/2022,11/15/2019,957780,2867530,4213239,980310,2275149,31880,9.87,13.39,5.9,,,,,,,,,,,,,1,0.46,60
B2960,ROAD OVER ROAD AND RAIL AT FAURE,Bridge,Bridge,11/17/2020,MR00168,0.3,City of Cape Town (LMB),6/30/2022,11/17/2020,19438874,36398801,39046130,84190,19523064,31880,89.27,13.72,6,,,,,,,,,,,,,1,0.5,50
B2962,"ROAD OVER RAIL AT VLOTTENBURG
",Bridge,Bridge,11/4/2019,MR00168,8.79,Stellenbosch,6/30/2022,11/4/2019,235781,3696445,5431157,2306000,2889375,31880,13.75,12.39,5.57,,,,,,,,,,,,,1,0.47,58
B2963A,Diep River at Malmesbury,Bridge,Bridge,11/18/2019,MR00174,3,Swartland,6/30/2022,11/18/2019,9133412,17052811,20872470,1929000,9810062,31880,49.6,13.2,2.5,,,,,,,,,,,,,1,0.53,47
B2968,"ROAD OVER RAIL AT PLANKENBURG
",Bridge,Bridge,12/2/2019,MR00174,59.5,Stellenbosch,6/30/2022,12/2/2019,32137469,48993281,70423000,1665570,36619961,31880,159.61,13.84,7.5,,,,,,,,,,,,,1,0.48,55
B2970,Road over Rail at Klipheuwel,Bridge,Bridge,11/19/2019,MR00188,26.16,City of Cape Town (LMB),6/30/2022,11/19/2019,2831835,4862126,5538991,103830,2603325,31880,14.3,12.15,6,,,,,,,,,,,,,1,0.53,47
B2971,"BRIDGE OVER VAN WYKS RIVER
",Bridge,Bridge Cellular,11/22/2019,MR00191,0.22,Drakenstein,6/30/2022,11/22/2019,1917070,2609249,4028484,454700,1656714,25890,,,,,10,15.56,0.2,,,,,,,,,,0.59,47
B2972,RAIL OVER ROAD AT VAN WYKS RIVER,Bridge,Bridge - Arch,11/27/2019,MR00191,0.22,Drakenstein,6/30/2022,11/27/2019,3284452,5396438,6395400,105110,3005838,63750,13.2,7.6,,9.6,,,,,,,,,,,,1,0.53,47
B2975A,JAN JOUBERTSGAT BRIDGE,Bridge,Bridge - Arch,11/25/2019,MR00191,37.16,Stellenbosch,6/30/2022,11/25/2019,1,2998088,3734539,159840,4063178,63750,5.66,10.35,,5.66,,,,,,,,,,,,1,-0.09,197
B2976C,DU TOITS RIVER BRIDGE,Bridge,Bridge,11/25/2019,MR00191,39.33,Stellenbosch,6/30/2022,11/25/2019,3819220,7880473,11261040,1180680,6261136,31880,39.6,8.92,6.86,,,,,,,,,,,,,1,0.44,64
B2978,ATLANTIS ROAD OVER RAIL,Bridge,Bridge,11/25/2019,MR00199,19.18,City of Cape Town (LMB),6/30/2022,11/25/2019,12281132,23283299,23814360,340480,11192748,31880,45,16.6,6.8,,,,,,,,,,,,,1,0.53,47
B2979,BREEDE RIVER NO 1,Bridge,Bridge,11/13/2019,MR00201+,14.56,Witzenberg,6/30/2022,11/13/2019,5231727,15996622,16743380,59180,11452469,31880,101,5.2,0,,,,,,,,,,,,,1,0.32,96
B2980,BREEDE RIVER NO 2,Bridge,Bridge,11/13/2019,MR00201+,14.8,Witzenberg,6/30/2022,11/13/2019,1931641,5772662,6150290,11850,4206798,31880,37.1,5.2,1.8,,,,,,,,,,,,,1,0.32,96
B2983,BORCHARDS BRIDGE,Bridge,Bridge,10/30/2019,MR00201+,22.62,Breede Vallei,6/30/2022,10/30/2019,568135,1762093,1928102,25720,1334247,31880,12.6,4.8,4,,,,,,,,,,,,,1,0.31,98
B2985,LEEU RIVER,Bridge,Bridge,11/21/2019,MR00201,43.12,Drakenstein,6/30/2022,11/21/2019,734316,2074843,2312575,51960,1526300,31880,6.2,11.7,1.2,,,,,,,,,,,,,1,0.34,90
B2986,HUGOS RIVER,Bridge,Bridge,11/21/2019,MR00201,53.8,Drakenstein,6/30/2022,11/21/2019,7259079,16731712,18194550,528190,10407285,31880,24.6,23.2,1.9,,,,,,,,,,,,,1,0.43,68
B2989,WEMMERSHOEK RIVER,Bridge,Bridge,11/27/2019,MR00201,71.69,Stellenbosch,6/30/2022,11/27/2019,2916114,6804693,9195531,614970,5664447,31880,37.46,7.7,4.55,,,,,,,,,,,,,1,0.38,79
B2990,ROAD OVER RAIL AT ARBORETUM AVE,Bridge,Bridge,11/20/2019,MR00207,1.4,Drakenstein,6/30/2022,11/20/2019,1670682,3752106,5116740,1041190,2404868,31880,10,16.05,4.91,,,,,,,,,,,,,1,0.53,47
B3006,Bridge over Diep River,Bridge,Bridge,11/18/2019,MR00217,11.07,City of Cape Town (LMB),6/30/2022,11/18/2019,7866796,16666211,17750780,1541120,8342868,31880,92.8,6,4,,,,,,,,,,,,,1,0.53,47
B3007,BERG RIVER AT LADY LOCH,Bridge,Bridge,11/26/2019,MR00222,1.41,Drakenstein,6/30/2022,11/26/2019,7226405,23571304,30469630,451940,22791283,31880,183.8,5.2,4.2,,,,,,,,,,,,,1,0.25,112
B3011,SOUT RIVER AT VOLSTRUISFONTEIN,Bridge,Bridge,11/18/2019,MR00228,3.18,Saldanha Bay,6/30/2022,11/18/2019,3610290,7802725,8598992,138870,4849832,31880,33.3,8.1,2,,,,,,,,,,,,,1,0.44,66
B3012,"KOCHRA RIVER TRIBUTARY NO1
",Bridge,Bridge,12/4/2019,MR00228,12.19,Swartland,6/30/2022,12/4/2019,1669338,4050741,4671058,311190,2690529,31880,19.8,7.4,1.75,,,,,,,,,,,,,1,0.42,69
B3013,"KOCHRA RIVER TRIBUTARY NO2
",Bridge,Bridge,12/4/2019,MR00228,12.63,Swartland,6/30/2022,12/4/2019,1278548,2962290,3188000,47660,1861792,31880,8,12.5,1.4,,,,,,,,,,,,,1,0.42,71
B3014,"LONG STREET ROAD OVER RAIL
",Bridge,Bridge,12/5/2019,MR00230,1.5,Swartland,6/30/2022,12/5/2019,4960721,9032166,10283690,57720,5265250,31880,25.5,12.65,3.98,,,,,,,,,,,,,1,0.49,53
B3015A,Nogo River Bridge (Kotze Bridge),Bridge,Bridge,11/13/2019,MR00230+,1.9,Swartland,6/30/2022,11/13/2019,7532521,14358245,15529140,45700,7950922,31880,24.38,19.98,0,,,,,,,,,,,,,1,0.49,53
B3017,BRIDGE OVER DONKERSKLOOF STREAM,Bridge,Bridge,11/27/2019,MR00236,15.09,Swartland,6/30/2022,11/27/2019,2310981,5921288,6098134,103880,3683273,31880,19.4,9.86,0,,,,,,,,,,,,,1,0.4,76
B3018,SOUT RIVER (HOPEFIELD BRIDGE),Bridge,Bridge,11/20/2019,MR00234,1.27,Saldanha Bay,6/30/2022,11/20/2019,9605627,11062993,12267680,85840,2576212,31880,46.7,8.24,3.6,,,,,,,,,,,,,1,0.79,21
B3022A,BRIDGE OVER KARS RIVER,Bridge,Bridge,12/6/2019,MR00264+,7.34,Cape Agulhas,6/30/2022,11/20/2019,2161181,3605730,4240040,86040,1992819,31880,19,7,2,,,,,,,,,,,,,1,0.53,47
B3024A,BRIDGE OVER SOUT RIVER,Bridge,Bridge,12/6/2019,MR00264+,22.4,Cape Agulhas,6/30/2022,11/20/2019,4866940,6273027,9564000,201980,4495080,31880,30,10,4.5,,,,,,,,,,,,,1,0.53,47
B3025,BRIDGE OVER SOERIVIER,Bridge,Bridge,12/8/2019,MR00264+,25.38,Cape Agulhas,6/30/2022,11/20/2019,2624627,5345894,7651200,864320,4162253,31880,24,10,2.6,,,,,,,,,,,,,1,0.46,61
B3027,BRIDGE OVER SOUT RIVER,Bridge,Bridge,12/8/2019,MR00265+,25.56,Cape Agulhas,6/30/2022,11/19/2019,2440793,4507799,4664044,31150,2192101,31880,19,7.7,4,,,,,,,,,,,,,1,0.53,47
B3031,BRIDGE OVER KLIPDRIFTRIVIER,Bridge,Bridge,12/8/2019,MR00266+,0.22,Cape Agulhas,6/30/2022,11/19/2019,974734,2262737,2438820,30060,1434026,31880,9,8.5,3,,,,,,,,,,,,,1,0.41,72
B3032,BRIDGE OVER BRAKRIVIER,Bridge,Bridge,12/10/2019,MR00268+,18.32,Swellendam,6/30/2022,11/16/2019,3081904,3958792,5814912,0,2733008,31880,24,7.6,3.6,,,,,,,,,,,,,1,0.53,47
B3033,BRIDGE OVER BRAKRIVIER,Bridge,Bridge,12/10/2019,MR00268+,33.43,Swellendam,6/30/2022,11/16/2019,1669848,3570433,3825600,357720,1798032,31880,6,20,5,,,,,,,,,,,,,1,0.53,47
B3035,BRIDGE OVER KINKORIVIER,Bridge,Bridge,12/10/2019,MR00270+,7.38,Swellendam,6/30/2022,11/16/2019,1290488,2744057,2983968,46330,1647150,31880,12,7.8,3.13,,,,,,,,,,,,,1,0.45,63
B3036,SWART RIVER AT DONKERHOEK,Bridge,Bridge,11/19/2019,MR00277+,3.05,Theewaterskloof,6/30/2022,11/19/2019,2357732,3661558,6120960,335490,3427738,31880,24,8,5,,,,,,,,,,,,,1,0.44,65
B3037,SWART RIVER AT MATJIESDRIF,Bridge,Bridge,11/19/2019,MR00277+,4.55,Theewaterskloof,6/30/2022,11/19/2019,2367168,3846322,6057200,298000,3392032,31880,25,7.6,2.7,,,,,,,,,,,,,1,0.44,65
B3038A,PALMIET RIVER - GRABOUW,Bridge,Bridge,11/27/2019,MR00278,2.15,Theewaterskloof,6/30/2022,11/27/2019,16277481,32341526,38013080,296220,21439375,31880,116.9,10.2,3.86,,,,,,,,,,,,,1,0.44,66
B3039,"WITKLIPKLOOF STREAM CULVERT
",Bridge,Bridge Cellular,10/30/2019,MR00279,1.18,Theewaterskloof,6/30/2022,10/30/2019,8761385,13555259,14973220,54100,6157738,25890,,,,,24.3,23.8,1,,,,,,,,,,0.59,47
B3045,PALMIET RIVER AT NUWEBERG ,Bridge,Bridge,11/25/2019,MR00279+,26.9,Theewaterskloof,6/30/2022,11/25/2019,1348066,2715206,3215544,105360,1762118,31880,9.85,10.24,4,,,,,,,,,,,,,1,0.45,62
