Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
B0538,RIVIERSONDEREND CAUSEWAY NO 1,Bridge,Bridge,11/12/2019,DR01309,1.38,Theewaterskloof,6/30/2022,11/12/2019,3016666,7059922,7695577,0,4678911,31880,56.4,4.28,1.8,,,,,,,,,,,,,1,0.39,77
B0538A,RIVIERSONDEREND CAUSEWAY NO 2,Bridge,Bridge,11/12/2019,DR01309,1.67,Theewaterskloof,6/30/2022,11/12/2019,1002515,1961931,2053518,85850,965154,31880,15.05,4.28,2.4,,,,,,,,,,,,,1,0.53,47
B0539,KWARTEL RIVER,Bridge,Bridge,11/11/2019,DR01308,8.85,Theewaterskloof,6/30/2022,11/11/2019,125650,905413,1015378,412500,477228,31880,6.5,4.9,2.2,,,,,,,,,,,,,1,0.53,47
B0540A,BRIDGE OVER RIVIERSONDEREND,Bridge,Bridge,12/8/2019,DR01306+,1.49,Swellendam,6/30/2022,11/19/2019,392472,613722,956400,114420,449508,31880,10,3,2.5,,,,,,,,,,,,,1,0.53,47
B0542,SLANG RIVER CAUSEWAY,Bridge,Bridge Cellular,11/12/2019,DR01303,8.82,Theewaterskloof,6/30/2022,11/12/2019,448110,765546,810615.9,29140,333366,25890,,,,,6.2,5.05,0,,,,,,,,,,0.59,47
B0543,BRIDGE OVER GOOBOS RIVER NEAR GREYTON ,Bridge,Bridge,11/5/2019,DR01303,32.24,Theewaterskloof,6/30/2022,11/5/2019,4535032,6784049,10302280,925175,4842070,31880,39.7,8.14,2.77,,,,,,,,,,,,,1,0.53,47
B0545,RIVIERSONDEREND NEAR KLEIN PLASIE,Bridge,Bridge - Arch,11/12/2019,DR01303,5.52,Theewaterskloof,6/30/2022,11/12/2019,4789068,8551806,9189562,81400,4319094,63750,31,4.65,,31,,,,,,,,,,,,1,0.53,47
B0547,CAUSEWAY AT MIDDELPLAAS KM 16.55,Bridge,Bridge,11/6/2019,DR01298,16.55,Theewaterskloof,6/30/2022,11/6/2019,3248213,7025778,8049700,164860,4636627,31880,50,5.05,1.8,,,,,,,,,,,,,1,0.42,69
B0549A,CAUSEWAY AT MIDDELPLAAS NO.2 AT KM 16.71,Bridge,Bridge,11/5/2019,DR01298,16.71,Theewaterskloof,6/30/2022,11/5/2019,2084601,3798132,3975436,22380,1868455,31880,29,4.3,4.89,,,,,,,,,,,,,1,0.53,47
B0550,MEUL RIVER CAUSEWAY,Bridge,Bridge,10/3/2002,DR01298,17.87,Theewaterskloof,6/30/2022,10/3/2002,585022,1436829,1921408,52885,1283500,31880,12.3,4.9,0,,,,,,,,,,,,,1,0.33,92
B0552,JAGERSBOSKLOOF RIVER,Bridge,Bridge,11/5/2019,DR01298+,20.88,Theewaterskloof,6/30/2022,11/5/2019,1275991,2497780,2652416,129790,1246635,31880,8,10.4,2.8,,,,,,,,,,,,,1,0.53,47
