Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Maintenance Region,Magisterial District,Analysis Date,ACI  (Average Condition Index),PCI (Priority Condition Index)
B2168,BERKLEY ROAD UNDERPASS,Bridge,Bridge,11/6/2019,TR00201,1.12,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,80.36,71.99
B2170,BLACK RIVER AT VALKENBERG NO 1,Bridge,Bridge,11/11/2003,TR00201,1.97,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,80.16,49.00
B2170A,BLACK RIVER AT VALKENBERG NO 2,Bridge,Bridge,11/11/2003,TR00201,1.97,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,78.58,73.01
B2172,Black River NE Ramp,Bridge,Bridge,11/7/2019,TR00201,3.00,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,72.32,52.92
B2175,ELSIESKRAAL RIVER,Bridge,Bridge,11/15/2019,TR00201,5.00,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,82.59,60.07
B2177,Bokmakierie Road Interchange,Bridge,Bridge,11/8/2019,TR00201,5.64,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,59.86,12.97
B2178,LANGA ROAD INTERCHANGE,Bridge,Bridge,11/13/2019,TR00201,6.84,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,84.26,76.01
B2179,VANGUARD DRIVE INTERCHANGE NO 01,Bridge,Bridge,11/13/2019,TR00201,8.85,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,75.80,60.95
B2180,MODDERDAM INTERCHANGE,Bridge,Bridge,11/12/2019,TR00201,10.45,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,79.48,59.29
B2181,NYANGA ROAD OVER RAIL NO 1,Bridge,Bridge,4/2/2003,TR00201,10.86,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,80.06,57.64
B2181A,NYANGA ROAD OVER RAIL NO2 - WIDENING NEW NUMBER B5955,Bridge,Bridge,4/2/2003,TR00201,10.86,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,78.57,57.64
B2182,NYANGA WEST ROAD OVER ROAD - REPLACED BY B5996,Bridge,Bridge,4/3/2003,TR00201,11.47,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,82.81,81.59
