Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,Municipality,Maintenance Region,Magisterial District,Analysis Date,ACI  (Average Condition Index),PCI (Priority Condition Index)
B3403,BREEDE RIVER AT NEKKIES,Bridge,Bridge,11/7/2019,MR00298,2.79,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,93.25,83.83
B3902,MALMESBURY NORTH INTERCHANGE,Bridge,Bridge,11/2/2005,TR01102,2.44,,,,6/30/2022,65.46,34.89
B3903,BRIDGE AT PAROW NORTH INTERCHANGE,Bridge,Bridge,11/19/2019,TR00901,11.45,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,79.93,73.94
B3915,ROAD OVER RAIL NEAR BOTHA STATION,Bridge,Bridge,11/14/2019,MR00302+,17.13,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,95.83,96.83
B3916,ROAD OVER RAIL AT VLAKTEPLAAS,Bridge,Bridge,11/8/2019,TR08801+,14.97,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,94.46,85.08
B3922,BRIDGE OVER DIPKARIVIER,Bridge,Bridge,12/11/2019,MR00270+,16.17,Swellendam,Overberg,Overberg,6/30/2022,88.80,58.06
B3929,BRIDGE OVER DE HOOP RIVER,Bridge,Bridge,2/1/2021,MR00401,3.27,George,,Garden Route (Eden),6/30/2022,95.28,97.34
B3945,Klein River,Bridge,Bridge,11/6/2019,TR07301+,4.55,Prince Albert,Oudsthoorn,Central Karoo,6/30/2022,89.81,84.52
B3946,OLIFANTS RIVER (PMK LE ROUX BRIDGE),Bridge,Bridge,11/8/2019,TR08801+,15.61,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,86.38,89.64
B3958,GROOT RIVER,Bridge,Bridge,11/8/2019,TR08801+,0.14,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,84.67,73.05
B3962,BRIDGE OVER SOUT KLOOF RIVIER,Bridge,Bridge,12/9/2019, MR00542+,55.17,Cederberg,West Coast,West Coast,6/30/2022,71.88,74.14
B3966,KLAPMUTS RIVER,Bridge,Bridge,12/3/2019,MR00213,14.76,Drakenstein,Cape Winelands,Cape Winelands,6/30/2022,76.64,69.29
B3968,RIETVLEI RIVER,Bridge,Bridge,11/7/2001,TR01105,19.28,,,,6/30/2022,71.11,81.38
B3970,SWARTDOORN RIVER,Bridge,Bridge,8/1/2005,TR01107,28.87,,,,6/30/2022,73.21,79.31
B3972,KRUISMANS RIVER AT EENDEKUIL,Bridge,Bridge,11/19/2019,MR00537+,7.91,Bergrivier,Ceres,West Coast,6/30/2022,95.54,95.94
B3992,HOUW HOEK RIVER ,Bridge,Bridge,11/21/2019,DR01288+,0.77,Theewaterskloof,Overberg,Overberg,6/30/2022,79.54,83.99
B3993,BRIDGE OVER SOUTRIVIER,Bridge,Bridge,12/8/2019,DR01262+,18.63,Cape Agulhas,Overberg,Overberg,6/30/2022,77.68,55.23
B3999,TROE-TROE RIVER,Bridge,Bridge,11/7/2019,DR02217+,1.18,Matzikama,West Coast,West Coast,6/30/2022,74.26,75.14
B4001,Porterville River Bridge No. 2,Bridge,Bridge,11/20/2019,TR02303+,35.12,Bergrivier,Ceres,West Coast,6/30/2022,94.72,86.10
B4013,BRIDGE OVER MONTE VISTA INTERCHANGE,Bridge,Bridge,11/20/2019,TR00901,8.48,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,80.01,49.79
B4016,ROAD OVER RAIL AT NUWEKLOOF,Bridge,Bridge,11/18/2019,TR02201+,1.46,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,94.44,85.06
B4021,BRIDGE OVER KORINGLANDSRIVIER,Bridge,Bridge,12/11/2019,YMR00283,3.28,Swellendam,Swellendam,Overberg,6/30/2022,88.19,66.48
B4029,Kapteinskraal River Bridge,Bridge,Bridge,11/18/2019,TR03305+,26.87,Prince Albert,Central Karoo,Central Karoo,6/30/2022,70.54,81.53
B4031,"BRIDGE OVER POORT RIVER
BRIDGE OVER POORT RIVER",Bridge,Bridge,2/1/2021,MR00401,5.37,George,,Garden Route (Eden),6/30/2022,86.38,83.24
B4033,Traka River Bridge 1,Bridge,Bridge,11/18/2019,TR03305+,21.14,Prince Albert,Central Karoo,Central Karoo,6/30/2022,70.92,84.48
B4034 (5832),Modderdrift Stream,Bridge,Bridge,11/14/2019,TR03305+,22.62,Prince Albert,Oudtshoorn,Central Karoo,6/30/2022,79.72,85.29
B4035,Droekloof River Bridge No.6,Bridge,Bridge,11/18/2019,TR03305+,10.34,Prince Albert,Central Karoo,Central Karoo,6/30/2022,68.45,80.00
B4040,Traka River Bridge 2,Bridge,Bridge,11/18/2019,TR03305+,43.39,Prince Albert,Central Karoo,Central Karoo,6/30/2022,69.55,72.96
B4042,Groen River at Mamre Flats,Bridge,Bridge,11/7/2019,MR00224,18.25,Swartland,Ceres,West Coast,6/30/2022,88.93,84.94
B4048,Dassiedraai River Bridge,Bridge,Bridge,11/18/2019,TR03305+,22.78,Prince Albert,Central Karoo,Central Karoo,6/30/2022,73.06,77.83
B4084,KLEIN BERG RIVER,Bridge,Bridge,11/18/2019,TR02201+,2.71,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,98.21,95.40
B4087,EENKOKER RIVER,Bridge,Bridge,3/20/2002,TR01107,17.62,,,,6/30/2022,81.11,82.99
B4094,ROAD OVER RAIL NEAR GOUDA,Bridge,Bridge,11/20/2019,TR02303,0.97,Drakenstein,Ceres,Cape Winelands,6/30/2022,87.13,83.77
B4100,ROAD OVER RAIL NEAR HERMON STATION,Bridge,Bridge,11/22/2019,MR00023,2.17,Drakenstein,Cape Winelands,Cape Winelands,6/30/2022,93.06,87.35
B4101,ROAD OVER RAIL NEAR ELGIN,Bridge,Bridge,11/27/2019,MR00279,34.43,Theewaterskloof,Overberg,Overberg,6/30/2022,89.66,95.84
B4102,"ROAD OVER RAIL AT MULDERSVLEI
",Bridge,Bridge,11/27/2019,MR00174,48.11,Stellenbosch,Paarl,Cape Winelands,6/30/2022,83.78,65.65
B4105,BRIDGE OVER NOORDHOEK RIVER,Bridge,Bridge,11/11/2019, B4105,15.15,Cederberg,Ceres,West Coast,6/30/2022,95.54,94.08
B4110,TANQUA RIVER,Bridge,Bridge,11/5/2019,DR02250+,46.01,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,89.37,59.45
B4112,BRIDGE OVER KAMMANASSIE RIVER,Bridge,Bridge,2/1/2021,TR04401,11.67,George,Oudtshoorn,Garden Route (Eden),6/30/2022,100.00,100.00
B4113,BRIDGE AT OLD OAK INTERCHANGE,Bridge,Bridge,11/12/2019,TR00901,18.71,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,98.47,97.56
B4116,VOELVLEI IRRIGATION CANAL NO 4,Bridge,Bridge,11/20/2019,TR02303,0.83,Drakenstein,Ceres,Cape Winelands,6/30/2022,96.39,97.21
B4126,VOELVLEI CANAL,Bridge,Bridge,11/20/2019,DR01455,0.26,Drakenstein,Cape Winelands,Cape Winelands,6/30/2022,97.50,98.64
B4129,Serpentine River,Bridge,Bridge,11/9/2019,MR00352,1.03,George,,Garden Route (Eden),6/30/2022,100.00,100.00
B4131,BRIDGE OVER GAMKA RIVER,Bridge,Bridge,11/13/2019,TR03305,104.33,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,85.71,74.37
B4131A,BRIDGE OVER GAMKA RIVER TRIBUTARY  AT BEAUFORT WEST,Bridge,Bridge,11/13/2019,TR03305,104.86,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,84.82,76.83
B4134,WIEDOUWS RIVER,Bridge,Bridge,1/8/2002,TR01105,66.13,,,,6/30/2022,77.01,81.24
B4135,Charles Searle Brige over Great Brak River,Bridge,Bridge,11/7/2019,MR00348,2.35,Mossel Bay,Groot-Brakrivier,Garden Route (Eden),6/30/2022,96.63,81.61
B4136,ROAD OVER RAIL AT HERMON,Bridge,Bridge,11/26/2019,TR02401,24.17,Drakenstein,Ceres,Cape Winelands,6/30/2022,91.74,87.41
B4144,BRIDGE OVER DROE RIVER,Bridge,Bridge,11/14/2019,TR03305,107.92,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,79.46,79.54
B4145,BRIDGE OVER LOMBAARDKRAAL RIVER,Bridge,Bridge,11/13/2019,TR03305,95.75,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,77.90,63.85
B4146, Bridge over Welgersbos River at SV16.55,Bridge,Bridge,11/5/2019,TR07301+,16.55,Prince Albert,Leeuw Gamka,Central Karoo,6/30/2022,92.71,80.94
B4148,DOORN RIVER BRIDGE,Bridge,Bridge,11/1/2019,DR01347+,11.84,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,70.98,51.64
B4149,BRIDGE OVER RAIL AT WELTEVREDEN,Bridge,Bridge,11/14/2019,TR03305,108.50,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,91.67,86.19
B4151,Da Nova Interchange,Bridge,Bridge,11/5/2019,TR03301,6.96,Mossel Bay,Oudtshoorn,Garden Route (Eden),6/30/2022,97.10,93.39
B4152,ROAD OVER ROAD AT CLANWILLIAM,Bridge,Bridge,11/8/2001,TR01104,96.30,,,,6/30/2022,74.33,82.77
B4155A,Platteklip River,Bridge,Bridge,11/18/2019,MR00224,1.00,Swartland,Malmesbury,West Coast,6/30/2022,100.00,100.00
B4173,ROAD OVER RAIL AT POOLS STATION,Bridge,Bridge,6/26/2001,TR01104,14.81,,,,6/30/2022,64.72,53.84
B4179,Bridge over Klapmuts River,Bridge,Bridge,11/19/2019,MR00174,35.40,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,99.11,97.70
B4180,JA LEEG RIVER,Bridge,Bridge,11/5/2019,MR00547+,55.43,Matzikama,West Coast,West Coast,6/30/2022,83.78,59.91
B4183,WILGE RIVER,Bridge,Bridge,11/22/2019,TR08801,46.18,George,Oudtshoorn,Garden Route (Eden),6/30/2022,100.00,100.00
B4189,MALKOPS RIVER,Bridge,Bridge,11/19/2019,DR01459+,1.12,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,81.25,82.77
B4194,BRIDGE OVER DOLFKRAAL RIVER NO 1,Bridge,Bridge,11/14/2019,TR07301,33.91,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,78.31,81.00
B4196,SOETMELKSVLEI RIVER,Bridge,Bridge,11/11/2019,DR01303,16.45,Theewaterskloof,Overberg,Overberg,6/30/2022,93.97,89.42
B4214,"DWARS RIVER AT KYLEMORE
",Bridge,Bridge,11/19/2019,DR01079,0.24,Stellenbosch,Cape Winelands,Cape Winelands,6/30/2022,65.28,68.51
B4217,BRIDGE OVER DOLFKRAAL RIVER NO 2,Bridge,Bridge,11/14/2019,TR07301,33.65,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,84.82,89.89
B4218,BRIDGE OVER DOLFKRAAL RIVER NO 3,Bridge,Bridge,11/14/2019,TR07301,33.42,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,80.69,81.00
B4224,KNUY RIVER,Bridge,Bridge,11/20/2019,MR00356,1.18,Kannaland,,Garden Route (Eden),6/30/2022,75.84,78.17
B4229,TROE-TROE RIVER,Bridge,Bridge,1/8/2002,TR01106,0.03,,,,6/30/2022,69.98,75.42
B4231,RHENOSTER RIVER,Bridge,Bridge,11/5/2019,DR02250+,68.36,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,93.97,91.73
B4241A,VARSCH RIVER NO 1,Bridge,Bridge,3/4/2002,TR01106,13.28,,,,6/30/2022,77.37,80.97
B4241B,VARSCH RIVER NO 2,Bridge,Bridge,7/10/2001,TR01106,13.42,,,,6/30/2022,66.67,80.97
B4246,BOSMANSDAM INTERCHANGE NO 1,Bridge,Bridge,11/21/2019,TR01101,1.27,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,80.92,68.58
B4247,Refinery Interchange,Bridge,Bridge,11/21/2019,TR01101,4.16,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,74.84,44.81
B4249,GROOT RIVER,Bridge,Bridge,11/22/2019,MR00356,34.40,Kannaland,,Garden Route (Eden),6/30/2022,69.53,22.50
B4250,Ratel River Culvert,Bridge,Bridge,11/21/2019,DR01206+,6.32,Overstrand,Elim,Overberg,6/30/2022,82.14,65.00
B4253,KLEIN SWARTBERG RIVER NO 1,Bridge,Bridge,11/28/2019,MR00309,16.59,Laingsburg,Central Karoo,Central Karoo,6/30/2022,91.96,96.96
B4253A,KLEIN SWARTBERG RIVER NO 2,Bridge,Bridge,11/28/2019,MR00309,16.51,Laingsburg,Central Karoo,Central Karoo,6/30/2022,95.68,97.10
B4255,KANDELAARS RIVER,Bridge,Bridge,11/6/2019,DR01671+,3.88,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,80.47,89.98
B4256,ROAD OVER ROAD AT VANRHYNSDORP,Bridge,Bridge,8/14/2001,TR01106,0.17,,,,6/30/2022,79.58,82.82
B4258,SOUT RIVER,Bridge,Bridge,7/11/2001,TR01106,25.17,,,,6/30/2022,82.59,83.00
B4266,Bridge over Boesmans River at SV12.55,Bridge,Bridge,11/5/2019,TR07301+,12.55,Prince Albert,Leeuw Gamka,Central Karoo,6/30/2022,87.74,90.97
B4268,BRIDGE OVER GATS RIVER,Bridge,Bridge,11/19/2019,TR06501,19.12,Hessequa,Paarl,Garden Route (Eden),6/30/2022,85.71,89.69
B4299,Brandwag River,Bridge,Bridge,11/7/2019,TR03301 ,6.96,Mossel Bay,Eden,Garden Route (Eden),6/30/2022,90.83,86.82
B4313,KROM RIVER AT ADDYS,Bridge,Bridge,11/21/2019,DR01152,24.20,,,,6/30/2022,81.11,83.21
B4315,ROAD OVER RAIL AT ROMANS RIVER,Bridge,Bridge,11/8/2019,MR00201+,8.65,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,95.83,79.90
B4328,Droekloof River No 5,Bridge,Bridge,11/18/2019,TR03305+,5.19,Prince Albert,Oudtshoorn,Central Karoo,6/30/2022,77.90,77.38
B4329,Droe Kloof River No. 4,Bridge,Bridge,11/14/2019,TR03305+,4.78,Prince Albert,Oudsthoorn,Central Karoo,6/30/2022,81.19,85.04
B4330,Droe Kloof River No 3,Bridge,Bridge,11/14/2019,TR03305+,4.37,Prince Albert,Oudsthoorn,Central Karoo,6/30/2022,78.01,83.16
B4331,Droe Kloof River No 2,Bridge,Bridge,11/14/2019,TR03305+,3.77,Prince Albert,Oudsthoorn,Central Karoo,6/30/2022,72.43,77.29
B4332,Droe Kloof River No 1,Bridge,Bridge,11/15/2019,TR03305+,3.51,Prince Albert,Oudtshoorn,Central Karoo,6/30/2022,74.33,81.33
B4334,BERG RIVIER,Bridge,Bridge,11/20/2019,MR00207,1.46,Drakenstein,Cape Winelands,Cape Winelands,6/30/2022,75.11,71.51
B4340,BONTEHEUWEL PEDESTRIAN OVERPASS,Bridge,Bridge,11/13/2019,TR00201,9.74,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,85.06,49.83
B4342,GAMKA RIVER,Bridge,Bridge,11/20/2019,TR03105,40.15,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,86.22,84.33
B4374,Groot River ,Bridge,Bridge Cellular,11/15/2019,TR03305+,1.00,Prince Albert,Central Karoo,Central Karoo,6/30/2022,76.14,74.08
B4376,OLIFANTS RIVER,Bridge,Bridge,11/6/2019,MR00358+,14.02,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,76.29,89.70
B4379,ROAD OVER RAIL AT EENDEKUIL,Bridge,Bridge,11/19/2019,MR00537+,7.85,Bergrivier,Ceres,West Coast,6/30/2022,95.42,87.80
B4380,ROAD OVER RAIL NEAR TROE-TROE,Bridge,Bridge,11/8/2019,MR00548+,2.47,Matzikama,West Coast,West Coast,6/30/2022,93.89,97.27
B4388,BRIDGE OVER RAIL AT GRAAFWATER,Bridge,Bridge,11/11/2019,B4388,30.30,Cederberg,West Coast,West Coast,6/30/2022,78.89,78.35
B4406,FIRGROVE INTERCHANGE,Bridge,Bridge,11/11/2019,TR00201,36.12,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,78.17,47.12
B4411,BRIDGE OVER CONSTANTIA MAIN ROAD - ALPHEN INTERCHANGE,Bridge,Bridge,11/21/2019,MR00106,15.81,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,93.75,92.09
B4413,KENDAL ROAD INTERCHANGE ON M3,Bridge,Bridge,11/21/2019,MR00106,17.00,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,89.29,71.36
B4417,Bridge over Tokai Road (M3),Bridge,Bridge,11/21/2019,MR00106,21.76,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,89.51,92.80
B4420,Little Brak River,Bridge,Bridge,11/7/2019,MR00344,4.83,Mossel Bay,,Garden Route (Eden),6/30/2022,100.00,100.00
B4421B,"EERSTE RIVER
",Bridge,Bridge,11/13/2019,MR00027,33.78,Stellenbosch,Stellenbosch,Cape Winelands,6/30/2022,59.58,76.90
B4422A,KOOPMANS RIVER CULVERT,Bridge,Bridge,11/22/2019,TR02302,5.61,Drakenstein,Ceres,Cape Winelands,6/30/2022,93.25,94.00
B4424,TROE-TROE RIVER,Bridge,Bridge,11/7/2019,DR02203+,0.56,Matzikama,West Coast,West Coast,6/30/2022,91.89,95.28
B4433,ROAD OVER RAIL AT ORCHARD,Bridge,Bridge,10/31/2019,DR01438+,6.48,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,93.66,84.19
B4439,Bill Bezuidenhout Road over Road,Bridge,Bridge,11/20/2019,TR00901,17.40,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,96.34,92.48
B4456,PHILIPPI ROAD OVERPASS,Bridge,Bridge,11/13/2019,TR00201,16.69,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,82.78,82.11
B4462,Rail Over Road at Picaltsdorp,Bridge,Bridge,11/18/2019,MR00349,0.35,George,George,Garden Route (Eden),6/30/2022,81.70,55.46
B4467,KRUIS RIVER NO 2,Bridge,Bridge,11/21/2019,MR00363,6.28,Kannaland,,Garden Route (Eden),6/30/2022,73.66,76.78
B4468,GROBBELAARS RIVER,Bridge,Bridge,11/4/2019,DR01693+,0.29,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,87.46,85.96
B4469,BRIDGE OVER N1 (ZANDWYK STREET),Bridge,Bridge,11/27/2019,MR00214,0.28,,,,6/30/2022,86.87,93.72
B4492,BRIDGE OVER KARS RIVER TRIBUTARY,Bridge,Bridge,12/8/2019,DR01230+,0.95,Cape Agulhas,Overberg,Overberg,6/30/2022,86.94,68.00
B4493,Sand River ,Bridge,Bridge,11/15/2019,TR03304+,23.69,Prince Albert,Oudsthoorn,Central Karoo,6/30/2022,69.23,82.79
B4494,OLD CAPE ROAD OVERPASS,Bridge,Bridge,11/14/2019,TR03305,108.61,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,77.22,56.20
B4502,BRIDGE OVER OLIFANTS RIVER,Bridge,Bridge,11/11/2019,MR00310,112.24,Cederberg,Ceres,West Coast,6/30/2022,82.59,93.91
B4502A,BRIDGE OVER OLIFANTS RIVER,Bridge,Bridge,12/8/2019,MR00310,112.39,Cederberg,Ceres,West Coast,6/30/2022,97.77,93.10
B4513,BRIDGE OVER OLIFANTS RIVER,Bridge,Bridge,11/13/2019,TR05501,2.40,Cederberg,Ceres,West Coast,6/30/2022,97.18,94.25
B4515,SWARTBERG RIVER,Bridge,Bridge,11/18/2019,MR00365,13.10,Kannaland,,Garden Route (Eden),6/30/2022,82.81,89.81
B4516,BRIDGE CELLULAR  OVER GROOTRIVIER,Bridge,Bridge Cellular,11/19/2019,TR03304+,27.22,Prince Albert,Central Karoo,Central Karoo,6/30/2022,89.77,94.57
B4523,BRAND RIVER,Bridge,Bridge,11/21/2019,TR08301,41.22,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,80.13,62.00
B4543,BRIDGE OVER KARS RIVER,Bridge,Bridge,12/8/2019,MR00265+,6.00,Cape Agulhas,Overberg,Overberg,6/30/2022,98.66,93.67
B4544A,KOMPANJIES RIVER,Bridge,Bridge,11/22/2019,MR00023,3.02,Drakenstein,Cape Winelands,Cape Winelands,6/30/2022,87.31,91.55
B4545A,"BERG RIVER (LOUW BRIDGE)
",Bridge,Bridge,12/5/2019,TR02401,22.92,Drakenstein,Ceres,Cape Winelands,6/30/2022,92.02,82.09
B4596,DONKIES RIVER AT VERKEERDEVLEI,Bridge,Bridge,10/29/2019,TR02202+,70.28,Breede Vallei,Paarl,Cape Winelands,6/30/2022,81.44,57.99
B4600A,BRIDGE OVER KARS RIVER,Bridge,Bridge,12/3/2019,DR01226+,21.10,Cape Agulhas,Overberg,Overberg,6/30/2022,88.84,83.59
B4601,POESJENELS RIVER,Bridge,Bridge,11/29/2019,DR01355,1.76,Langeberg,Cape Winelands,Cape Winelands,6/30/2022,85.16,71.31
B4603,JA LEEG RIVER,Bridge,Bridge Cellular,11/5/2019,DR02224+,1.05,Matzikama,West Coast,West Coast,6/30/2022,80.62,84.14
B4607,BRIDGE OVER HEUNINGSNES RIVER,Bridge,Bridge,12/5/2019,MR00261+,17.44,Cape Agulhas,Overberg,Overberg,6/30/2022,97.05,89.16
B4611,BRIDGE OVER GABRIEL STREAM,Bridge,Bridge,11/12/2019,TR01608,46.16,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,80.58,41.91
B4612,BRIDGE OVER BRAKVALLEI RIVER,Bridge,Bridge,11/12/2019,TR01609,17.45,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,89.96,89.67
B4613,BRIDGE OVER TRIBUTARY BRAKVALLEI RIVER,Bridge,Bridge,11/12/2019,  TR01609,18.92,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,89.06,76.75
B4614,BRIDGE OVER BUFFALO RIVER,Bridge,Bridge,11/11/2019,TR01609,26.94,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,86.61,75.17
B4615,BRIDGE OVER UITKYKSPRUIT RIVER,Bridge,Bridge,11/11/2019,TR01609,39.50,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,86.16,74.67
B4617A,24 RIVERS AT HALFMANSHOF NO 8,Bridge,Bridge,11/20/2019,TR02303,18.83,Drakenstein,Ceres,Cape Winelands,6/30/2022,84.15,81.15
B4617B,24 Rivers at Halfmanshof No. 7,Bridge,Bridge,11/20/2019,TR02303+,19.75,Bergrivier,Ceres,West Coast,6/30/2022,97.77,97.68
B4617C,24 Rivers at Halfmanshof No. 6,Bridge,Bridge,11/20/2019,TR02303+,19.84,Bergrivier,Ceres,West Coast,6/30/2022,98.88,93.56
B4617D,24 Rivers at Halfmanshof No. 5,Bridge,Bridge,11/20/2019,TR02303+,19.90,Bergrivier,Ceres,West Coast,6/30/2022,97.77,97.68
B4617E,24 Rivers at Halfmanshof No. 4,Bridge,Bridge,11/20/2019,TR02303+,20.00,Bergrivier,Ceres,West Coast,6/30/2022,98.41,92.42
B4617F,24 Rivers at Halfmanshof No. 3,Bridge,Bridge,11/20/2019,TR02303+,20.44,Bergrivier,Ceres,West Coast,6/30/2022,97.77,92.67
B4621,ROAD OVER RAIL AT VINK RIVER,Bridge,Bridge,11/18/2019,TR03101,36.42,Langeberg,Paarl,Cape Winelands,6/30/2022,90.83,94.88
B4629,Kreedousberg River Armco,Bridge,Bridge Cellular,11/15/2019,TR03402+,24.78,Prince Albert,Central Karoo,Central Karoo,6/30/2022,84.80,83.94
B4657,Gerolms River Armco Bridge,Bridge,Bridge Cellular,11/16/2019,TR0582+,15.20,Prince Albert,Central Karoo,Central Karoo,6/30/2022,82.95,83.91
B4669,KNUY RIVER,Bridge,Bridge,11/21/2019,TR08301,66.85,Kannaland,Oudtshoorn,Garden Route (Eden),6/30/2022,82.54,93.37
B4674,ROAD OVER RAIL AT GOUDINI STATION,Bridge,Bridge,11/11/2019,MR00299+,1.16,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,84.38,73.99
B4677,SMALBLAAR RIVER,Bridge,Bridge,11/26/2019,MR00298+,14.43,Breede Vallei,Cape Winelands,Cape Winelands,6/30/2022,84.03,71.49
B4691,BRIDGE OVER OLIFANTS RIVER,Bridge,Bridge,11/5/2019,TR07501+,30.02,Oudtshoorn,Oudtshoorn,Garden Route (Eden),6/30/2022,90.29,94.51
B4693,Klein Swart River,Bridge,Bridge,11/9/2019,MR00355,3.33,George,,Garden Route (Eden),6/30/2022,96.65,96.34
B4694A,VINK RIVER,Bridge,Bridge,11/18/2019,TR03101,35.81,Langeberg,Paarl,Cape Winelands,6/30/2022,84.26,78.70
B4704,ROAD OVER RAIL AT BREERIVIER STATION,Bridge,Bridge,11/14/2019,DR01434+,0.51,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,95.40,91.77
B4706,BRIDGE OVER KAMMANASSIE RIVER,Bridge,Bridge,11/5/2019,DR01673+,11.08,Oudtshoorn,Oudsthoorn,Garden Route (Eden),6/30/2022,79.16,89.64
B4708,KRUIS RIVER NO 3,Bridge,Bridge,11/21/2019,MR00363,7.83,Kannaland,,Garden Route (Eden),6/30/2022,78.35,82.82
B4718,BRIDGE AT WOETJIES KLOOF,Bridge,Bridge,2/1/2021,TR08801,65.17,George,Oudtshoorn,Garden Route (Eden),6/30/2022,87.50,83.71
B4726,Dorps River Armco,Bridge,Bridge Cellular,11/15/2019,TR03402+,4.28,Prince Albert,Central Karoo,Central Karoo,6/30/2022,90.62,82.94
B4728,BRIDGE OVER GAMKA RIVER,Bridge,Bridge,11/13/2019,TR05801,5.80,Beaufort West,Oudtshoorn,Central Karoo,6/30/2022,87.72,57.03
B4730,TROE-TROE RIVER,Bridge,Bridge Cellular,11/7/2019,DR02217+,11.27,Matzikama,West Coast,West Coast,6/30/2022,89.77,96.10
B4735,SOUT RIVER,Bridge,Bridge,11/20/2019,TR02102+,0.04,Saldanha Bay,Saldanha Bay,West Coast,6/30/2022,85.71,82.82
B4736,ROAD OVER RAIL AT HOPEFIELD,Bridge,Bridge,11/20/2019,TR02101,53.22,Saldanha Bay,Ceres,West Coast,6/30/2022,86.11,89.98
B4737,SWARTBERG RIVER,Bridge,Bridge,11/20/2019,DR01702,7.64,Kannaland,,Garden Route (Eden),6/30/2022,87.17,93.79
B4740,KARMENATJIES RIVER,Bridge,Bridge,11/19/2019,TR02101,43.84,Saldanha Bay,Ceres,West Coast,6/30/2022,90.29,80.80
B4742,SKAAP RIVER,Bridge,Bridge,11/7/2019,DR01452+,1.58,Witzenberg,Cape Winelands,Cape Winelands,6/30/2022,91.07,82.88
B4743,Road over Rail at Little Brak,Bridge,Bridge,11/7/2019,MR0345,0.73,Mossel Bay,Eden,Garden Route (Eden),6/30/2022,93.64,81.12
B4744,ROAD OVER RAIL AT GOEDEHOOP,Bridge,Bridge,11/15/2019,TR02102,24.96,Saldanha Bay,Ceres,West Coast,6/30/2022,86.61,84.26
B4747,BITOU RIVER,Bridge,Bridge,11/1/2019,MR00395,7.09,Bitou,,Garden Route (Eden),6/30/2022,87.28,86.47
B4750,Road over road at Somerset West,Bridge,Bridge,11/11/2019,TR00201,40.29,City of Cape Town (LMB),Paarl,City of Cape Town (DMC),6/30/2022,78.06,65.03
B4764,Uilenkraals,Bridge,Bridge,12/2/2019,MR00028+,7.06,Overstrand,Gansbaai,Overberg,6/30/2022,63.24,52.72
B4774,BUFFELS RIVER NO 1,Bridge,Bridge,11/22/2019,TR08303,24.72,Laingsburg,Oudtshoorn,Central Karoo,6/30/2022,91.07,96.96
